id,Geographic Area Name,Total population,White,Percent White,Black or African American,Percent Black or African American,American Indian and Alaska Native,Percent American Indian and Alaska Native,Asian,Percent Asian,Native Hawaiian and Other Pacific Islander,Percent Native Hawaiian and Other Pacific Islander,Some other race,Percent Some other race,HISPANIC OR LATINO AND RACE Total population,HISPANIC OR LATINO AND RACE Total population Hispanic or Latino (of any race),Percent Estimate HISPANIC OR LATINO AND RACE Total population Hispanic or Latino (of any race)
0500000US05001,"Arkansas County, Arkansas",18124,13146,72.5,4677,25.8,18,0.1,0,0,0,0,76,0.4,18124,554,3.1
0500000US05003,"Ashley County, Arkansas",20537,14737,71.8,5273,25.7,50,0.2,47,0.2,0,0,305,1.5,20537,1097,5.3
0500000US05005,"Baxter County, Arkansas",41219,39814,96.6,74,0.2,130,0.3,172,0.4,13,0,301,0.7,41219,927,2.2
0500000US05007,"Benton County, Arkansas",258980,227609,87.9,4359,1.7,3710,1.4,9862,3.8,1440,0.6,4495,1.7,258980,42577,16.4
0500000US05009,"Boone County, Arkansas",37288,35843,96.1,156,0.4,290,0.8,192,0.5,36,0.1,11,0,37288,899,2.4
0500000US05011,"Bradley County, Arkansas",10948,7158,65.4,3176,29,127,1.2,0,0,0,0,463,4.2,10948,1654,15.1
0500000US05013,"Calhoun County, Arkansas",5202,3962,76.2,1125,21.6,7,0.1,0,0,10,0.2,10,0.2,5202,206,4
0500000US05015,"Carroll County, Arkansas",27887,25826,92.6,335,1.2,188,0.7,334,1.2,208,0.7,417,1.5,27887,4182,15
0500000US05017,"Chicot County, Arkansas",10826,4733,43.7,5861,54.1,24,0.2,43,0.4,0,0,64,0.6,10826,580,5.4
0500000US05019,"Clark County, Arkansas",22385,15939,71.2,5374,24,86,0.4,156,0.7,8,0,506,2.3,22385,1050,4.7
0500000US05021,"Clay County, Arkansas",15061,14443,95.9,93,0.6,66,0.4,0,0,0,0,232,1.5,15061,300,2
0500000US05023,"Cleburne County, Arkansas",25230,24473,97,140,0.6,273,1.1,152,0.6,0,0,42,0.2,25230,618,2.4
0500000US05025,"Cleveland County, Arkansas",8226,7106,86.4,924,11.2,13,0.2,3,0,0,0,0,0,8226,154,1.9
0500000US05027,"Columbia County, Arkansas",23892,14476,60.6,8351,35,87,0.4,267,1.1,0,0,448,1.9,23892,650,2.7
0500000US05029,"Conway County, Arkansas",20906,17805,85.2,2282,10.9,64,0.3,19,0.1,0,0,37,0.2,20906,812,3.9
0500000US05031,"Craighead County, Arkansas",105701,83979,79.4,14622,13.8,480,0.5,1328,1.3,200,0.2,2352,2.2,105701,5253,5
0500000US05033,"Crawford County, Arkansas",62472,55196,88.4,978,1.6,1237,2,1171,1.9,9,0,1871,3,62472,4715,7.5
0500000US05035,"Crittenden County, Arkansas",49013,21763,44.4,23789,48.5,155,0.3,352,0.7,76,0.2,90,0.2,49013,1210,2.5
0500000US05037,"Cross County, Arkansas",16998,12695,74.7,3308,19.5,24,0.1,10,0.1,0,0,8,0,16998,330,1.9
0500000US05039,"Dallas County, Arkansas",7432,4123,55.5,3093,41.6,31,0.4,26,0.3,15,0.2,58,0.8,7432,229,3.1
0500000US05041,"Desha County, Arkansas",11887,5855,49.3,5596,47.1,30,0.3,39,0.3,0,0,206,1.7,11887,698,5.9
0500000US05043,"Drew County, Arkansas",18502,12701,68.6,5333,28.8,18,0.1,43,0.2,0,0,230,1.2,18502,609,3.3
0500000US05045,"Faulkner County, Arkansas",122416,100652,82.2,13904,11.4,493,0.4,1634,1.3,163,0.1,2496,2,122416,4956,4
0500000US05047,"Franklin County, Arkansas",17780,16743,94.2,172,1,273,1.5,105,0.6,37,0.2,59,0.3,17780,545,3.1
0500000US05049,"Fulton County, Arkansas",12139,11686,96.3,71,0.6,55,0.5,6,0,5,0,61,0.5,12139,183,1.5
0500000US05051,"Garland County, Arkansas",98296,84747,86.2,8031,8.2,791,0.8,523,0.5,6,0,1582,1.6,98296,5434,5.5
0500000US05053,"Grant County, Arkansas",18086,17182,95,541,3,33,0.2,9,0,0,0,16,0.1,18086,481,2.7
0500000US05055,"Greene County, Arkansas",44623,42566,95.4,720,1.6,105,0.2,129,0.3,40,0.1,305,0.7,44623,1244,2.8
0500000US05057,"Hempstead County, Arkansas",22018,13067,59.3,6713,30.5,51,0.2,17,0.1,50,0.2,1663,7.6,22018,2786,12.7
0500000US05059,"Hot Spring County, Arkansas",33520,28346,84.6,4032,12,22,0.1,141,0.4,10,0,439,1.3,33520,1148,3.4
0500000US05061,"Howard County, Arkansas",13389,8964,67,2761,20.6,27,0.2,34,0.3,14,0.1,1305,9.7,13389,1631,12.2
0500000US05063,"Independence County, Arkansas",37264,34252,91.9,693,1.9,76,0.2,236,0.6,7,0,1007,2.7,37264,2305,6.2
0500000US05065,"Izard County, Arkansas",13559,12835,94.7,254,1.9,195,1.4,18,0.1,0,0,45,0.3,13559,302,2.2
0500000US05067,"Jackson County, Arkansas",17225,13516,78.5,2143,12.4,17,0.1,7,0,7,0,98,0.6,17225,485,2.8
0500000US05069,"Jefferson County, Arkansas",70424,28231,40.1,39889,56.6,213,0.3,661,0.9,0,0,814,1.2,70424,1432,2
0500000US05071,"Johnson County, Arkansas",26291,24033,91.4,424,1.6,45,0.2,490,1.9,34,0.1,569,2.2,26291,3627,13.8
0500000US05073,"Lafayette County, Arkansas",6915,4196,60.7,2533,36.6,21,0.3,35,0.5,0,0,63,0.9,6915,172,2.5
0500000US05075,"Lawrence County, Arkansas",16669,16127,96.7,173,1,47,0.3,16,0.1,1,0,23,0.1,16669,240,1.4
0500000US05077,"Lee County, Arkansas",9398,3978,42.3,5313,56.5,27,0.3,13,0.1,0,0,8,0.1,9398,167,1.8
0500000US05079,"Lincoln County, Arkansas",13695,9104,66.5,4292,31.3,49,0.4,0,0,0,0,177,1.3,13695,516,3.8
0500000US05081,"Little River County, Arkansas",12417,9128,73.5,2762,22.2,143,1.2,44,0.4,0,0,51,0.4,12417,107,0.9
0500000US05083,"Logan County, Arkansas",21757,19905,91.5,293,1.3,228,1,503,2.3,0,0,262,1.2,21757,642,3
0500000US05085,"Lonoke County, Arkansas",72206,64282,89,4379,6.1,434,0.6,531,0.7,85,0.1,908,1.3,72206,3196,4.4
0500000US05087,"Madison County, Arkansas",16076,15105,94,87,0.5,211,1.3,162,1,59,0.4,89,0.6,16076,896,5.6
0500000US05089,"Marion County, Arkansas",16438,15805,96.1,145,0.9,187,1.1,71,0.4,0,0,18,0.1,16438,366,2.2
0500000US05091,"Miller County, Arkansas",43759,30846,70.5,10844,24.8,477,1.1,180,0.4,34,0.1,513,1.2,43759,1405,3.2
0500000US05093,"Mississippi County, Arkansas",42831,25863,60.4,15070,35.2,28,0.1,236,0.6,25,0.1,861,2,42831,1728,4
0500000US05095,"Monroe County, Arkansas",7249,4058,56,2897,40,36,0.5,31,0.4,0,0,42,0.6,7249,199,2.7
0500000US05097,"Montgomery County, Arkansas",8993,8205,91.2,20,0.2,161,1.8,122,1.4,0,0,275,3.1,8993,383,4.3
0500000US05099,"Nevada County, Arkansas",8440,5348,63.4,2927,34.7,6,0.1,26,0.3,1,0,0,0,8440,24,0.3
0500000US05101,"Newton County, Arkansas",7848,7435,94.7,2,0,205,2.6,18,0.2,0,0,0,0,7848,73,0.9
0500000US05103,"Ouachita County, Arkansas",24106,13655,56.6,9904,41.1,48,0.2,15,0.1,0,0,31,0.1,24106,546,2.3
0500000US05105,"Perry County, Arkansas",10322,9578,92.8,196,1.9,63,0.6,0,0,0,0,193,1.9,10322,297,2.9
0500000US05107,"Phillips County, Arkansas",19034,6893,36.2,11921,62.6,6,0,11,0.1,0,0,29,0.2,19034,343,1.8
0500000US05109,"Pike County, Arkansas",10808,9740,90.1,355,3.3,75,0.7,54,0.5,0,0,390,3.6,10808,703,6.5
0500000US05111,"Poinsett County, Arkansas",24054,21306,88.6,1149,4.8,54,0.2,12,0,0,0,153,0.6,24054,707,2.9
0500000US05113,"Polk County, Arkansas",20163,18538,91.9,91,0.5,331,1.6,157,0.8,0,0,468,2.3,20163,1319,6.5
0500000US05115,"Pope County, Arkansas",63644,58030,91.2,1895,3,355,0.6,654,1,0,0,1136,1.8,63644,5563,8.7
0500000US05117,"Prairie County, Arkansas",8244,7037,85.4,1073,13,29,0.4,29,0.4,0,0,22,0.3,8244,61,0.7
0500000US05119,"Pulaski County, Arkansas",393463,222468,56.5,143508,36.5,944,0.2,8592,2.2,170,0,6810,1.7,393463,24078,6.1
0500000US05121,"Randolph County, Arkansas",17603,16854,95.7,201,1.1,84,0.5,0,0,0,0,107,0.6,17603,344,2
0500000US05123,"St. Francis County, Arkansas",26294,10743,40.9,14624,55.6,151,0.6,152,0.6,0,0,347,1.3,26294,708,2.7
0500000US05125,"Saline County, Arkansas",118009,105202,89.1,8293,7,406,0.3,1403,1.2,62,0.1,550,0.5,118009,5451,4.6
0500000US05127,"Scott County, Arkansas",10442,9179,87.9,28,0.3,248,2.4,94,0.9,0,0,434,4.2,10442,792,7.6
0500000US05129,"Searcy County, Arkansas",7923,7421,93.7,54,0.7,203,2.6,96,1.2,0,0,28,0.4,7923,183,2.3
0500000US05131,"Sebastian County, Arkansas",127461,95473,74.9,8877,7,1644,1.3,5590,4.4,28,0,10398,8.2,127461,17860,14
0500000US05133,"Sevier County, Arkansas",17193,10858,63.2,874,5.1,364,2.1,61,0.4,50,0.3,4698,27.3,17193,5703,33.2
0500000US05135,"Sharp County, Arkansas",17043,16216,95.1,119,0.7,96,0.6,19,0.1,0,0,51,0.3,17043,373,2.2
0500000US05137,"Stone County, Arkansas",12446,12024,96.6,9,0.1,63,0.5,14,0.1,0,0,2,0,12446,236,1.9
0500000US05139,"Union County, Arkansas",39732,25485,64.1,12972,32.6,391,1,227,0.6,0,0,232,0.6,39732,1540,3.9
0500000US05141,"Van Buren County, Arkansas",16684,15996,95.9,81,0.5,120,0.7,14,0.1,0,0,34,0.2,16684,508,3
0500000US05143,"Washington County, Arkansas",228529,177357,77.6,8149,3.6,2207,1,5696,2.5,5039,2.2,22411,9.8,228529,38052,16.7
0500000US05145,"White County, Arkansas",78804,71645,90.9,3206,4.1,275,0.3,552,0.7,21,0,1053,1.3,78804,3382,4.3
0500000US05147,"Woodruff County, Arkansas",6660,4633,69.6,1845,27.7,0,0,91,1.4,6,0.1,0,0,6660,12,0.2
