"","County","Date","Positive","Negative","Recovered","Total_Deaths","Number_Tested","Current_Infections","Population","New_Cases_Today","Recovered_Since_Yesterday","New_Deaths_Today","New_Tests_Dashboard","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths"
"1","Arkansas",2020-09-03,287,4113,263,3,4400,21,18124,1,2,0,28,1.58353564334584,24.2772015007725,0.55175457956301,11.5868461708232,6.52272727272727,3.57142857142857,266,1.12781954887218,98.8721804511278
"2","Ashley",2020-09-03,388,4106,368,7,4494,13,20537,0,2,0,38,1.88927301942835,21.8824560549253,0,6.33003846715684,8.63373386737873,0,375,1.86666666666667,98.1333333333333
"3","Baxter",2020-09-03,144,2727,119,0,2871,25,41219,4,3,0,64,0.349353453504452,6.96523447924501,0.970426259734588,6.06516412334118,5.01567398119122,6.25,119,0,100
"4","Benton",2020-09-03,5503,59162,5156,58,64665,289,258980,50,35,1,969,2.12487450768399,24.9691095837516,1.93065101552243,11.1591628697197,8.51001314466868,5.15995872033024,5214,1.11238971998466,98.8876102800154
"5","Boone",2020-09-03,388,6648,272,3,7036,113,37288,14,6,0,133,1.04054923836087,18.8693413430594,3.75455910748766,30.3046556532933,5.51449687322342,10.5263157894737,275,1.09090909090909,98.9090909090909
"6","Bradley",2020-09-03,300,3048,266,6,3348,28,10948,4,10,0,47,2.74022652539277,30.5809280233833,3.65363536719035,25.5754475703325,8.96057347670251,8.51063829787234,272,2.20588235294118,97.7941176470588
"7","Calhoun",2020-09-03,23,1259,23,0,1282,0,5202,0,0,0,11,0.442137639369473,24.6443675509419,0,0,1.79407176287051,0,23,0,100
"8","Carroll",2020-09-03,479,5695,433,7,6174,39,27887,5,3,0,93,1.7176462150823,22.1393480833363,1.79295012012766,13.9850109369957,7.75834143181082,5.37634408602151,440,1.59090909090909,98.4090909090909
"9","Chicot",2020-09-03,964,4243,927,11,5207,26,10826,1,0,0,28,8.90448919268428,48.0971734712729,0.923702198411232,24.016257158692,18.5135394661033,3.57142857142857,938,1.1727078891258,98.8272921108742
"10","Clark",2020-09-03,243,4739,211,4,4982,28,22385,4,4,0,36,1.08554835827563,22.2559749832477,1.78691087781997,12.5083761447398,4.8775592131674,11.1111111111111,215,1.86046511627907,98.1395348837209
"11","Clay",2020-09-03,190,3053,155,5,3243,30,15061,5,6,0,45,1.2615364185645,21.5324347652878,3.31983268043291,19.9189960825974,5.85877274128893,11.1111111111111,160,3.125,96.875
"12","Cleburne",2020-09-03,259,4470,239,7,4729,13,25230,2,4,0,44,1.0265556876734,18.7435592548553,0.792707094728498,5.15259611573524,5.47684499894269,4.54545454545455,246,2.84552845528455,97.1544715447154
"13","Cleveland",2020-09-03,139,1947,125,5,2086,9,8226,1,-1,0,50,1.68976416241186,25.358619012886,1.2156576707999,10.9409190371991,6.66347075743049,2,130,3.84615384615385,96.1538461538462
"14","Columbia",2020-09-03,311,3642,269,15,3953,27,23892,8,6,0,38,1.30169094257492,16.5452871253976,3.34840113845639,11.3008538422903,7.86744244877308,21.0526315789474,284,5.28169014084507,94.7183098591549
"15","Conway",2020-09-03,213,4779,191,3,4992,19,20906,1,4,0,48,1.01884626423036,23.8783124461877,0.478331579450875,9.08830000956663,4.26682692307692,2.08333333333333,194,1.54639175257732,98.4536082474227
"16","Craighead",2020-09-03,1958,24288,1667,16,26246,275,105701,26,11,1,489,1.85239496315077,24.8304178768413,2.45976859253933,26.0167831903199,7.46018440905281,5.31697341513292,1683,0.95068330362448,99.0493166963755
"17","Crawford",2020-09-03,952,13956,846,9,14908,97,62472,13,20,0,179,1.52388269944935,23.8634908438981,2.08093225765143,15.5269560763222,6.38583310973974,7.26256983240224,855,1.05263157894737,98.9473684210526
"18","Crittenden",2020-09-03,1685,11829,1585,35,13514,65,49013,26,21,0,118,3.43786342398955,27.5722767429049,5.30471507559219,13.2617876889805,12.4685511321592,22.0338983050847,1620,2.16049382716049,97.8395061728395
"19","Cross",2020-09-03,289,3358,243,5,3647,41,16998,6,3,0,79,1.70020002353218,21.4554653488646,3.52982703847511,24.1204847629133,7.92432136002193,7.59493670886076,248,2.01612903225806,97.9838709677419
"20","Dallas",2020-09-03,132,1501,89,2,1633,41,7432,4,13,0,33,1.77610333692142,21.9725511302476,5.38213132400431,55.1668460710441,8.08328230251072,12.1212121212121,91,2.1978021978022,97.8021978021978
"21","Desha",2020-09-03,249,3020,216,5,3269,28,11887,5,1,0,59,2.09472533019265,27.5006309413645,4.20627576343905,23.5551442752587,7.61700825940655,8.47457627118644,221,2.26244343891403,97.737556561086
"22","Drew",2020-09-03,309,4606,288,5,4915,16,18502,1,1,0,53,1.67008972003027,26.564695708572,0.540482110042158,8.64771376067452,6.28687690742625,1.88679245283019,293,1.70648464163823,98.2935153583618
