"county","positive","negative","recovered","total_deaths","number_tested","current_infections","date","population"
"Arkansas",284,4061,259,3,4345,22,2020-09-01,18124
"Ashley",388,4055,365,7,4443,16,2020-09-01,20537
"Baxter",139,2646,113,0,2785,26,2020-09-01,41219
"Benton",5394,57911,5099,54,63305,241,2020-09-01,258980
"Boone",369,6508,259,3,6877,107,2020-09-01,37288
"Bradley",295,3000,250,6,3295,39,2020-09-01,10948
"Calhoun",24,1247,22,0,1271,2,2020-09-01,5202
"Carroll",470,5583,425,7,6053,38,2020-09-01,27887
"Chicot",962,4208,926,11,5170,25,2020-09-01,10826
"Clark",236,4682,203,3,4918,30,2020-09-01,22385
"Clay",182,3000,148,5,3182,29,2020-09-01,15061
"Cleburne",259,4385,233,7,4644,19,2020-09-01,25230
"Cleveland",137,1838,124,4,1975,9,2020-09-01,8226
"Columbia",297,3603,256,15,3900,26,2020-09-01,23892
"Conway",210,4716,183,3,4926,24,2020-09-01,20906
"Craighead",1881,23607,1621,15,25488,245,2020-09-01,105701
"Crawford",931,13708,804,9,14639,118,2020-09-01,62472
"Crittenden",1648,11695,1555,34,13343,59,2020-09-01,49013
"Cross",280,3271,236,5,3551,39,2020-09-01,16998
"Dallas",127,1457,76,2,1584,49,2020-09-01,7432
"Desha",243,2954,213,5,3197,25,2020-09-01,11887
"Drew",305,4546,277,5,4851,23,2020-09-01,18502
"Faulkner",1703,27030,1511,9,28733,183,2020-09-01,122416
"Franklin",168,4092,148,2,4260,18,2020-09-01,17780
"Fulton",71,889,56,0,960,15,2020-09-01,12139
"Garland",1434,21156,1272,29,22590,133,2020-09-01,98298
"Grant",191,3508,165,1,3699,25,2020-09-01,18086
"Greene",635,9511,574,4,10146,57,2020-09-01,44623
"Hempstead",330,3454,307,3,3784,20,2020-09-01,22018
"Hot Spring",1719,8422,1661,21,10141,37,2020-09-01,33520
"Howard",425,3157,388,5,3582,32,2020-09-01,13389
"Independence",770,7829,679,6,8599,85,2020-09-01,37264
"Izard",105,2773,80,0,2878,25,2020-09-01,13559
"Jackson",184,4590,155,1,4774,28,2020-09-01,17225
"Jefferson",2112,21002,1773,50,23114,289,2020-09-01,70424
"Johnson",765,5613,745,4,6378,16,2020-09-01,26291
"Lafayette",70,790,63,2,860,5,2020-09-01,6915
"Lawrence",250,2714,226,10,2964,14,2020-09-01,16669
"Lee",1004,3295,974,11,4299,19,2020-09-01,9398
"Lincoln",1608,5274,1366,13,6882,229,2020-09-01,13695
"Little River",284,1448,253,15,1732,16,2020-09-01,12417
"Logan",365,5283,338,1,5648,26,2020-09-01,21757
"Lonoke",728,12694,623,4,13422,101,2020-09-01,72206
"Madison",296,3380,288,2,3676,6,2020-09-01,16078
"Marion",46,1681,39,0,1727,7,2020-09-01,16438
