county,date,population,cases_population,tested_population,new_cases_today_10k_pop,active_cases_10k_pop,current_infections,positive,new_cases_today,negative,recovered,recovered_since_yesterday,total_deaths,new_deaths_today,number_tested,new_tests_dashboard,pct_positive_cumulative,pct_positive_new_to_dashboard,closed,pct_deaths_vs_recoveries,pct_recoveries_vs_deaths
Arkansas,2020-09-01,18124,1.5669830059589496,23.9737364820128,0.5517545795630104,12.138600750386228,22,284,1,4061,259,6,3,0,4345,17,6.536248561565017,5.88235294117647,262,1.1450381679389312,98.85496183206108
Ashley,2020-09-01,20537,1.889273019428349,21.634123776598337,0,7.790816574962263,16,388,0,4055,365,3,7,0,4443,12,8.732838172406032,0,372,1.881720430107527,98.11827956989248
Baxter,2020-09-01,41219,0.3372231252577695,6.756592833402072,0.2426065649336471,6.307770688274824,26,139,1,2646,113,4,0,0,2785,43,4.991023339317774,2.3255813953488373,113,0,100
Benton,2020-09-01,258980,2.0827863155456017,24.443972507529537,1.1583906093134606,9.305737894818133,241,5394,30,57911,5099,37,54,2,63305,275,8.520653976779085,10.909090909090908,5153,1.0479332427712014,98.95206675722879
Boone,2020-09-01,37288,0.9895945076163913,18.442930701566187,1.072731173567904,28.695558892941428,107,369,4,6508,259,7,3,0,6877,22,5.365711792932966,18.181818181818183,262,1.1450381679389312,98.85496183206108
Bradley,2020-09-01,10948,2.6945560833028863,30.096821337230544,0,35.62294483010596,39,295,0,3000,250,3,6,1,3295,13,8.952959028831563,0,256,2.34375,97.65625
Calhoun,2020-09-01,5202,0.461361014994233,24.43291041906959,0,3.8446751249519417,2,24,0,1247,22,1,0,0,1271,2,1.8882769472856018,0,22,0,100
Carroll,2020-09-01,27887,1.6853731129199985,21.70545415426543,0.35859002402553164,13.626420912970202,38,470,1,5583,425,5,7,0,6053,16,7.764744754667108,6.25,432,1.6203703703703702,98.37962962962963
Chicot,2020-09-01,10826,8.886015148716055,47.755403657860704,0,23.092554960280808,25,962,0,4208,926,3,11,1,5170,4,18.6073500967118,0,937,1.1739594450373532,98.82604055496265
Clark,2020-09-01,22385,1.0542774179137815,21.970069242796516,1.3401831583649766,13.401831583649765,30,236,3,4682,203,4,3,0,4918,21,4.7986986579910536,14.285714285714285,206,1.4563106796116505,98.54368932038835
Clay,2020-09-01,15061,1.2084190956775778,21.127415178275015,0,19.255029546510855,29,182,0,3000,148,1,5,-1,3182,14,5.719673161533627,0,153,3.2679738562091507,96.73202614379085
Cleburne,2020-09-01,25230,1.0265556876734048,18.40665873959572,0,7.5307173999207295,19,259,0,4385,233,2,7,0,4644,21,5.5770887166236,0,240,2.9166666666666665,97.08333333333333
Cleveland,2020-09-01,8226,1.6654510089958667,24.00923899829808,1.2156576707999027,10.940919037199125,9,137,1,1838,124,4,4,0,1975,6,6.936708860759494,16.666666666666664,128,3.125,96.875
Columbia,2020-09-01,23892,1.2430939226519337,16.323455549974884,0.8371002846140967,10.882303699983257,26,297,2,3603,256,8,15,0,3900,13,7.615384615384616,15.384615384615385,271,5.535055350553505,94.4649446494465
Conway,2020-09-01,20906,1.0044963168468382,23.56261360375012,1.9133263178035012,11.47995790682101,24,210,4,4716,183,1,3,0,4926,28,4.263093788063337,14.285714285714285,186,1.6129032258064515,98.38709677419355
Craighead,2020-09-01,105701,1.7795479702178787,24.113300725631735,1.1352778119412306,23.178588660466787,245,1881,12,23607,1621,29,15,0,25488,126,7.37994350282486,9.523809523809524,1636,0.9168704156479218,99.08312958435208
Crawford,2020-09-01,62472,1.4902676399026764,23.432897938276348,1.600717121270329,18.888462030989885,118,931,10,13708,804,18,9,0,14639,135,6.359724024865086,7.4074074074074066,813,1.107011070110701,98.8929889298893
Crittenden,2020-09-01,49013,3.362373247913819,27.223389712933304,1.0201375145369596,12.037622671536123,59,1648,5,11695,1555,13,34,0,13343,39,12.351045492018287,12.82051282051282,1589,2.1397105097545626,97.86028949024544
Cross,2020-09-01,16998,1.6472526179550535,20.890693022708554,0.5883045064125191,22.943875750088246,39,280,1,3271,236,2,5,0,3551,14,7.885102787947057,7.142857142857142,241,2.0746887966804977,97.9253112033195
Dallas,2020-09-01,7432,1.708826695371367,21.31324004305705,0,65.93110871905274,49,127,0,1457,76,3,2,0,1584,6,8.017676767676768,0,78,2.564102564102564,97.43589743589743
Desha,2020-09-01,11887,2.0442500210313788,26.894927231429293,0,21.031378817195257,25,243,0,2954,213,1,5,0,3197,2,7.600875821082265,0,218,2.293577981651376,97.70642201834863
Drew,2020-09-01,18502,1.6484704356285806,26.218787158145062,0.5404821100421576,12.431088530969626,23,305,1,4546,277,1,5,0,4851,16,6.287363430220573,6.25,282,1.773049645390071,98.22695035460993
Faulkner,2020-09-01,122416,1.3911580185596655,23.47160501895177,0.8168866814795452,14.949026271075677,183,1703,10,27030,1511,17,9,0,28733,158,5.926982911634706,6.329113924050633,1520,0.5921052631578948,99.40789473684211
Franklin,2020-09-01,17780,0.9448818897637795,23.95950506186727,1.124859392575928,10.12373453318335,18,168,2,4092,148,1,2,0,4260,23,3.943661971830986,8.695652173913043,150,1.3333333333333335,98.66666666666667
Fulton,2020-09-01,12139,0.5848916714721147,7.908394431172256,0.8237910865804432,12.356866298706649,15,71,1,889,56,1,0,0,960,6,7.395833333333333,16.666666666666664,56,0,100
Garland,2020-09-01,98298,1.4588292742476958,22.981138985533786,0.6103888176768602,13.530285458503734,133,1434,6,21156,1272,20,29,0,22590,52,6.347941567065073,11.538461538461538,1301,2.2290545734050733,97.77094542659492
Grant,2020-09-01,18086,1.056065465000553,20.45228353422537,-0.5529138560212319,13.822846400530796,25,191,-1,3508,165,2,1,0,3699,26,5.163557718302244,-3.8461538461538463,166,0.6024096385542169,99.3975903614458
Greene,2020-09-01,44623,1.42303296506286,22.737153485870515,0.22409967953745827,12.77368173363512,57,635,1,9511,574,8,4,0,10146,32,6.258624088310665,3.125,578,0.6920415224913495,99.30795847750865
Hempstead,2020-09-01,22018,1.4987737305840676,17.185938777363972,0,9.083477155054954,20,330,0,3454,307,4,3,0,3784,11,8.720930232558139,0,310,0.967741935483871,99.03225806451613
Hot Spring,2020-09-01,33520,5.128281622911694,30.2535799522673,0.5966587112171838,11.038186157517899,37,1719,2,8422,1661,3,21,1,10141,40,16.950991026525983,5,1682,1.2485136741973841,98.75148632580262
Howard,2020-09-01,13389,3.174247516618119,26.753304951826124,0,23.900216595712898,32,425,0,3157,388,3,5,0,3582,12,11.864879955332217,0,393,1.2722646310432568,98.72773536895674
Independence,2020-09-01,37264,2.066337483898669,23.075890940317734,1.3417775869471875,22.81021897810219,85,770,5,7829,679,13,6,0,8599,22,8.954529596464706,22.727272727272727,685,0.8759124087591241,99.12408759124088
Izard,2020-09-01,13559,0.7743933918430563,21.22575411166015,2.212552548123018,18.437937901025148,25,105,3,2773,80,5,0,0,2878,16,3.648366921473245,18.75,80,0,100
