"","County","total_pop2019","pop_age_5_11"
"1","Arkansas",17486,1567
"2","Ashley",19657,1769
"3","Baxter",41932,2808
"4","Benton",279141,28504
"5","Boone",37432,3330
"6","Bradley",10763,1049
"7","Calhoun",5189,403
"8","Carroll",28380,2381
"9","Chicot",10118,879
"10","Clark",22320,1674
"11","Clay",14551,1180
"12","Cleburne",24919,1836
"13","Cleveland",7956,613
"14","Columbia",23457,1910
"15","Conway",20846,1871
"16","Craighead",110332,10742
"17","Crawford",63257,5900
"18","Crittenden",47955,4936
"19","Cross",16419,1511
"20","Dallas",7009,566
"21","Desha",11361,1113
"22","Drew",18219,1497
"23","Faulkner",126007,11171
"24","Franklin",17715,1533
"25","Fulton",12477,999
"26","Garland",99386,7617
"27","Grant",18265,1565
"28","Greene",45325,4218
"29","Hempstead",21532,2218
"30","Hot Spring",33771,2624
"31","Howard",13202,1376
"32","Independence",37825,3589
"33","Izard",13629,980
"34","Jackson",16719,1267
"35","Jefferson",66824,5546
"36","Johnson",26578,2560
"37","Lafayette",6624,440
"38","Lawrence",16406,1348
"39","Lee",8857,618
"40","Lincoln",13024,817
"41","Little River",12259,1065
"42","Logan",21466,1676
"43","Lonoke",73309,7305
"44","Madison",16576,1434
"45","Marion",16694,1191
"46","Miller",43257,3970
"47","Mississippi",40651,4026
"48","Monroe",6701,544
"49","Montgomery",8986,592
"50","Nevada",8252,686
"51","Newton",7753,528
"52","Ouachita",23382,2010
"53","Perry",10455,902
"54","Phillips",17782,1719
"55","Pike",10718,909
"56","Poinsett",23528,2177
"57","Polk",19964,1768
"58","Pope",64072,5673
"59","Prairie",8062,683
"60","Pulaski",391911,35447
"61","Randolph",17958,1651
"62","Saline",122437,11187
"63","Scott",10281,920
"64","Searcy",7881,593
"65","Sebastian",127827,11770
"66","Sevier",17007,1972
"67","Sharp",17442,1318
"68","St. Francis",24994,1945
"69","Stone",12506,895
"70","Union",38682,3591
"71","Van Buren",16545,1225
"72","Washington",239187,22496
"73","White",78753,7132
"74","Woodruff",6320,542
"75","Yell",21341,2025
