county_nam,mydate,deaths,fhwa_numbe,fips,positive,negative,recoveries,total_tests,active_cases,pop_5yr_est_2018,confirmed_pos,probable_pos,confirmed_neg,probable_neg,confirmed_recov,probable_recov,confirmed_death,probable_death,confirmed_active,probable_active,pcr_test,antigen_test,pcr_pos_test,pcr_neg_test,antigen_pos_test,antigen_neg_test,total_pos_test,total_neg_test,New_Cases_Today,Recovered_Since_Yesterday,New_Deaths_Today,New_Tests_Dashboard
Arkansas_all_counties,1/7/21,3926,5630,5630,245916,2149933,215980,2404053,25984,2990671,200531,45385,1928699,221234,179718,36262,3273,653,17517,8467,2129230,274823,200531,1928699,53589,221234,254120,2149933,3323,2406,25,18001
Arkansas_county,1/7/21,33,1,1,1420,14943,1242,16455,145,18124,1016,404,11420,3523,920,322,27,6,69,76,12436,4019,1016,11420,496,3523,1512,14943,21,16,0,129
Ashley,1/7/21,21,3,3,1355,11113,1218,12507,116,20537,1133,222,10345,768,1037,181,19,2,77,39,11478,1029,1133,10345,261,768,1394,11113,11,11,0,62
Baxter,1/7/21,74,5,5,2292,14398,1948,16716,270,41219,1599,693,12738,1660,1407,541,47,27,145,125,14337,2379,1599,12738,719,1660,2318,14398,28,27,2,94
Benton,1/7/21,286,7,7,19981,140393,17316,161060,2378,258980,15421,4560,132089,8304,13690,3626,222,64,1508,870,147510,13550,15421,132089,5246,8304,20667,140393,347,220,5,1043
Boone,1/7/21,70,9,9,2762,23586,2478,26475,212,37288,2213,549,21786,1800,2032,446,59,11,120,92,23999,2476,2213,21786,676,1800,2889,23586,30,27,1,173
Bradley,1/7/21,17,11,11,1040,7809,898,8874,125,10948,816,224,5291,2518,708,190,9,8,99,26,6107,2767,816,5291,249,2518,1065,7809,12,15,0,28
Calhoun,1/7/21,1,13,13,257,2888,229,3164,27,5202,206,51,2684,204,188,41,1,0,17,10,2890,274,206,2684,70,204,276,2888,5,4,0,22
Carroll,1/7/21,31,15,15,2225,14389,2017,16660,177,27887,1925,300,14022,367,1774,243,28,3,123,54,15947,713,1925,14022,346,367,2271,14389,35,18,0,131
Chicot,1/7/21,32,17,17,1452,10475,1374,11952,46,10826,1341,111,8700,1775,1278,96,31,1,32,14,10041,1911,1341,8700,136,1775,1477,10475,7,10,0,420
Clark,1/7/21,24,19,19,1483,18093,1300,19642,159,22385,1229,254,15328,2765,1091,209,21,3,117,42,16557,3085,1229,15328,320,2765,1549,18093,15,17,0,118
Clay,1/7/21,35,21,21,1396,13100,1243,14537,117,15061,1077,319,9980,3120,978,265,26,9,72,45,11057,3480,1077,9980,360,3120,1437,13100,13,7,0,44
Cleburne,1/7/21,40,23,23,1436,15875,1142,17389,254,25230,1064,372,13059,2816,856,286,37,3,171,83,14123,3266,1064,13059,450,2816,1514,15875,40,22,0,137
Cleveland,1/7/21,21,25,25,615,6746,531,7390,63,8226,419,196,6069,677,364,167,17,4,38,25,6488,902,419,6069,225,677,644,6746,8,10,0,42
Columbia,1/7/21,43,27,27,1669,14297,1505,16106,121,23892,1074,595,11316,2981,1003,502,30,13,41,80,12390,3716,1074,11316,735,2981,1809,14297,9,14,0,70
Conway,1/7/21,18,29,29,1549,15386,1245,16991,286,20906,1220,329,13169,2217,987,258,14,4,219,67,14389,2602,1220,13169,385,2217,1605,15386,30,24,0,111
Craighead,1/7/21,143,31,31,10718,82995,9665,93985,909,105701,9499,1219,73321,9674,8601,1064,130,13,767,142,82820,11165,9499,73321,1491,9674,10990,82995,107,82,0,511
Crawford,1/7/21,66,33,33,4917,47030,4282,52019,568,62472,4117,800,45150,1880,3705,577,56,10,355,213,49267,2752,4117,45150,872,1880,4989,47030,48,60,0,169
Crittenden,1/7/21,77,35,35,4565,29281,4193,33948,294,49013,4270,295,27490,1791,3952,241,66,11,251,43,31760,2188,4270,27490,397,1791,4667,29281,34,26,0,431
Cross,1/7/21,37,37,37,1563,12129,1338,13745,188,16998,1246,317,11381,748,1079,259,35,2,132,56,12627,1118,1246,11381,370,748,1616,12129,28,20,0,92
Dallas,1/7/21,11,39,39,524,5017,457,5549,56,7432,476,48,4775,242,421,36,9,2,46,10,5251,298,476,4775,56,242,532,5017,8,4,0,19
Desha,1/7/21,11,41,41,1008,8330,906,9392,91,11887,841,167,7322,1008,772,134,10,1,59,32,8163,1229,841,7322,221,1008,1062,8330,9,6,0,102
Drew,1/7/21,22,43,43,1567,13695,1396,15302,149,18502,1247,320,11812,1883,1115,281,18,4,114,35,13059,2243,1247,11812,360,1883,1607,13695,23,11,0,73
Faulkner,1/7/21,97,45,45,8591,86144,7286,95131,1207,122416,6826,1765,74862,11282,5992,1294,81,16,752,455,81688,13443,6826,74862,2161,11282,8987,86144,141,106,0,819
Franklin,1/7/21,26,47,47,1192,13924,1061,15152,105,17780,954,238,13182,742,872,189,22,4,60,45,14136,1016,954,13182,274,742,1228,13924,12,18,0,98
Fulton,1/7/21,36,49,49,959,4776,817,5770,106,12139,681,278,3757,1019,603,214,16,20,62,44,4438,1332,681,3757,313,1019,994,4776,13,21,0,38
Garland,1/7/21,164,51,51,6520,63348,5464,70045,890,98296,5550,970,58049,5299,4752,712,139,25,657,233,63599,6446,5550,58049,1147,5299,6697,63348,135,94,1,596
Grant,1/7/21,15,53,53,1162,11589,1009,12802,138,18086,844,318,9895,1694,762,247,14,1,68,70,10739,2063,844,9895,369,1694,1213,11589,7,27,1,44
Greene,1/7/21,55,55,55,4734,33837,4300,38723,379,44623,3817,917,29716,4121,3493,807,45,10,279,100,33533,5190,3817,29716,1069,4121,4886,33837,53,39,0,183
