county,population
Arkansas,18124
Ashley,20537
Baxter,41219
Benton,258980
Boone,37288
Bradley,10948
Calhoun,5202
Carroll,27887
Chicot,10826
Clark,22385
Clay,15061
Cleburne,25230
Cleveland,8226
Columbia,23892
Conway,20906
Craighead,105701
Crawford,62472
Crittenden,49013
Cross,16998
Dallas,7432
Desha,11887
Drew,18502
Faulkner,122416
Franklin,17780
Fulton,12139
Garland,98298
Grant,18086
Greene,44623
Hempstead,22018
Hot Spring,33520
Howard,13389
Independence,37264
Izard,13559
Jackson,17225
Jefferson,70424
Johnson,26291
Lafayette,6915
Lawrence,16669
Lee,9398
Lincoln,13695
Little River,12417
Logan,21757
Lonoke,72206
Madison,16078
Marion,16438
Miller,43759
Missing County,NA
Mississippi,42831
Monroe,7249
Montgomery,8993
Nevada,8440
Newton,7848
Ouachita,24106
Perry,10322
Phillips,19034
Pike,10808
Poinsett,24054
Polk,20163
Pope,63644
Prairie,8244
Pulaski,393463
Randolph,17603
Saline,118009
Scott,10442
Searcy,7923
Sebastian,127461
Sevier,17193
Sharp,17043
St. Francis,26294
Stone,12446
Union,39732
Van Buren,16684
Washington,228529
White,78804
Woodruff,6660
Yell,21757
