"","v1","date","name","cumulative_total","active_cases","cumulative_student_cases","cumulative_faculty_staff_cases","type","district","student_population","Student_Covid_Per1000","Active_Covid_Per1000"
"1",218,2021-08-30,"ARKANSAS STATE UNIVERSITY, JONESBORO",26,10,21,5,"COLLEGE/UNIVERSITY","arkansas_state_university,_jonesboro",13356,1.57,0.75
"2",2111,2021-08-26,"ARKANSAS STATE UNIVERSITY, JONESBORO",20,5,15,5,"COLLEGE/UNIVERSITY","arkansas_state_university,_jonesboro",13356,1.12,0.37
"3",964,2021-08-16,"ARKANSAS STATE UNIVERSITY, JONESBORO",11,5,NA,NA,"COLLEGE/UNIVERSITY","arkansas_state_university,_jonesboro",13356,NA,0.37
"4",217,2021-08-30,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",39,11,NA,NA,"COLLEGE/UNIVERSITY","arkansas_tech_university,_russellville",11829,NA,0.93
"5",1971,2021-08-26,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",35,16,NA,NA,"COLLEGE/UNIVERSITY","arkansas_tech_university,_russellville",11829,NA,1.35
"6",1472,2021-08-23,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",34,17,NA,NA,"PUBLIC SCHOOL DISTRICT","arkansas_tech_university,_russellville",11829,NA,1.44
"7",1263,2021-08-19,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",25,12,NA,NA,"COLLEGE/UNIVERSITY","arkansas_tech_university,_russellville",11829,NA,1.01
"8",894,2021-08-16,"ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",16,8,NA,NA,"COLLEGE/UNIVERSITY","arkansas_tech_university,_russellville",11829,NA,0.68
"9",224,2021-08-30,"ASU - NEWPORT, JONESBORO",13,6,NA,NA,"COLLEGE/UNIVERSITY","asu_-_newport,_jonesboro",2269,NA,2.64
"10",2051,2021-08-26,"ASU - NEWPORT, JONESBORO",12,7,NA,NA,"COLLEGE/UNIVERSITY","asu_-_newport,_jonesboro",2269,NA,3.09
"11",219,2021-08-30,"ASU THREE RIVERS, MALVERN",12,9,NA,NA,"COLLEGE/UNIVERSITY","asu_three_rivers,_malvern",1151,NA,7.82
"12",2031,2021-08-26,"ASU THREE RIVERS, MALVERN",10,8,NA,NA,"COLLEGE/UNIVERSITY","asu_three_rivers,_malvern",1151,NA,6.95
"13",221,2021-08-30,"CENTRAL BAPTIST COLLEGE, CONWAY",8,7,5,0,"COLLEGE/UNIVERSITY","central_baptist_college,_conway",666,7.51,10.51
"14",213,2021-08-30,"HARDING UNIVERSITY, SEARCY",18,13,NA,NA,"COLLEGE/UNIVERSITY","harding_university,_searcy",4879,NA,2.66
"15",2131,2021-08-26,"HARDING UNIVERSITY, SEARCY",9,5,6,0,"COLLEGE/UNIVERSITY","harding_university,_searcy",4879,1.23,1.02
"16",214,2021-08-30,"HENDERSON STATE UNIVERSITY, ARKADELPHIA",29,12,13,5,"COLLEGE/UNIVERSITY","henderson_state_university,_arkadelphia",4037,3.22,2.97
"17",1981,2021-08-26,"HENDERSON STATE UNIVERSITY, ARKADELPHIA",25,15,11,5,"COLLEGE/UNIVERSITY","henderson_state_university,_arkadelphia",4037,2.72,3.72
"18",1482,2021-08-23,"HENDERSON STATE UNIVERSITY, ARKADELPHIA",20,13,7,5,"PUBLIC SCHOOL DISTRICT","henderson_state_university,_arkadelphia",4037,1.73,3.22
"19",1283,2021-08-19,"HENDERSON STATE UNIVERSITY, ARKADELPHIA",13,8,NA,NA,"COLLEGE/UNIVERSITY","henderson_state_university,_arkadelphia",4037,NA,1.98
"20",231,2021-08-30,"JOHN BROWN UNIVERSITY, SILOAM SPRINGS",20,5,6,8,"COLLEGE/UNIVERSITY","john_brown_university,_siloam_springs",2319,2.59,2.16
"21",2151,2021-08-26,"JOHN BROWN UNIVERSITY, SILOAM SPRINGS",17,5,5,7,"COLLEGE/UNIVERSITY","john_brown_university,_siloam_springs",2319,2.16,2.16
"22",1343,2021-08-19,"JOHN BROWN UNIVERSITY, SILOAM SPRINGS",12,5,NA,NA,"COLLEGE/UNIVERSITY","john_brown_university,_siloam_springs",2319,NA,2.16
"23",904,2021-08-16,"JOHN BROWN UNIVERSITY, SILOAM SPRINGS",11,8,NA,NA,"COLLEGE/UNIVERSITY","john_brown_university,_siloam_springs",2319,NA,3.45
"24",226,2021-08-30,"LYON COLLEGE, BATESVILLE",23,6,NA,NA,"COLLEGE/UNIVERSITY","lyon_college,_batesville",662,NA,9.06
"25",206,2021-08-26,"LYON COLLEGE, BATESVILLE",21,7,NA,NA,"COLLEGE/UNIVERSITY","lyon_college,_batesville",662,NA,10.57
"26",150,2021-08-23,"LYON COLLEGE, BATESVILLE",19,11,NA,NA,"PUBLIC SCHOOL DISTRICT","lyon_college,_batesville",662,NA,16.62
"27",1273,2021-08-19,"LYON COLLEGE, BATESVILLE",16,11,NA,NA,"COLLEGE/UNIVERSITY","lyon_college,_batesville",662,NA,16.62
"28",884,2021-08-16,"LYON COLLEGE, BATESVILLE",14,10,NA,NA,"COLLEGE/UNIVERSITY","lyon_college,_batesville",662,NA,15.11
"29",215,2021-08-30,"NATIONAL PARK COLLEGE, HOT SPRINGS",24,12,NA,NA,"COLLEGE/UNIVERSITY","national_park_college,_hot_springs",2077,NA,5.78
"30",1991,2021-08-26,"NATIONAL PARK COLLEGE, HOT SPRINGS",20,12,NA,NA,"COLLEGE/UNIVERSITY","national_park_college,_hot_springs",2077,NA,5.78
"31",1562,2021-08-23,"NATIONAL PARK COLLEGE, HOT SPRINGS",11,5,NA,NA,"PUBLIC SCHOOL DISTRICT","national_park_college,_hot_springs",2077,NA,2.41
"32",212,2021-08-30,"NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",36,14,NA,NA,"COLLEGE/UNIVERSITY","northwest_arkansas_community_college,_bentonville",8383,NA,1.67
"33",2041,2021-08-26,"NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",24,8,NA,NA,"COLLEGE/UNIVERSITY","northwest_arkansas_community_college,_bentonville",8383,NA,0.95
"34",1333,2021-08-19,"NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",13,6,NA,NA,"COLLEGE/UNIVERSITY","northwest_arkansas_community_college,_bentonville",8383,NA,0.72
"35",917,2021-08-16,"NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",11,7,NA,NA,"COLLEGE/UNIVERSITY","northwest_arkansas_community_college,_bentonville",8383,NA,0.84
"36",227,2021-08-30,"OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",7,6,NA,NA,"COLLEGE/UNIVERSITY","ouachita_baptist_university,_arkadelphia",1633,NA,3.67
"37",228,2021-08-30,"SOUTH ARKANSAS COMMUNITY COLLEGE, EL DORADO",12,6,NA,NA,"COLLEGE/UNIVERSITY","south_arkansas_community_college,_el_dorado",1443,NA,4.16
"38",2091,2021-08-26,"SOUTH ARKANSAS COMMUNITY COLLEGE, EL DORADO",11,6,NA,NA,"COLLEGE/UNIVERSITY","south_arkansas_community_college,_el_dorado",1443,NA,4.16
"39",211,2021-08-30,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",37,17,24,5,"COLLEGE/UNIVERSITY","southern_arkansas_university,_magnolia",4475,5.36,3.8
"40",1961,2021-08-26,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",30,18,16,5,"COLLEGE/UNIVERSITY","southern_arkansas_university,_magnolia",4475,3.58,4.02
"41",1513,2021-08-23,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",18,10,NA,NA,"PUBLIC SCHOOL DISTRICT","southern_arkansas_university,_magnolia",4475,NA,2.23
"42",1323,2021-08-19,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",13,7,NA,NA,"COLLEGE/UNIVERSITY","southern_arkansas_university,_magnolia",4475,NA,1.56
"43",93,2021-08-16,"SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",10,6,NA,NA,"COLLEGE/UNIVERSITY","southern_arkansas_university,_magnolia",4475,NA,1.34
"44",210,2021-08-30,"U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",71,19,5,13,"COLLEGE/UNIVERSITY","u_of_a_for_medical_sciences,_little_rock",2768,1.81,6.86
"45",1941,2021-08-26,"U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",66,23,NA,NA,"COLLEGE/UNIVERSITY","u_of_a_for_medical_sciences,_little_rock",2768,NA,8.31
"46",1462,2021-08-23,"U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",58,19,NA,NA,"PUBLIC SCHOOL DISTRICT","u_of_a_for_medical_sciences,_little_rock",2768,NA,6.86
"47",1253,2021-08-19,"U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",47,20,NA,NA,"COLLEGE/UNIVERSITY","u_of_a_for_medical_sciences,_little_rock",2768,NA,7.23
"48",874,2021-08-16,"U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",36,18,NA,NA,"COLLEGE/UNIVERSITY","u_of_a_for_medical_sciences,_little_rock",2768,NA,6.5
"49",230,2021-08-30,"U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",22,6,NA,NA,"COLLEGE/UNIVERSITY","u_of_a_pulaski_technical_college,_n._little_rock",5531,NA,1.08
"50",2011,2021-08-26,"U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",21,9,NA,NA,"COLLEGE/UNIVERSITY","u_of_a_pulaski_technical_college,_n._little_rock",5531,NA,1.63
"51",1552,2021-08-23,"U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",16,8,NA,NA,"PUBLIC SCHOOL DISTRICT","u_of_a_pulaski_technical_college,_n._little_rock",5531,NA,1.45
"52",131,2021-08-19,"U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",13,8,NA,NA,"COLLEGE/UNIVERSITY","u_of_a_pulaski_technical_college,_n._little_rock",5531,NA,1.45
"53",207,2021-08-30,"U OF A, FAYETTEVILLE",225,135,86,39,"COLLEGE/UNIVERSITY","u_of_a,_fayetteville",27559,3.12,4.9
"54",1921,2021-08-26,"U OF A, FAYETTEVILLE",152,82,45,34,"COLLEGE/UNIVERSITY","u_of_a,_fayetteville",27559,1.63,2.98
"55",1442,2021-08-23,"U OF A, FAYETTEVILLE",95,37,30,30,"PUBLIC SCHOOL DISTRICT","u_of_a,_fayetteville",27559,1.09,1.34
"56",1233,2021-08-19,"U OF A, FAYETTEVILLE",73,44,19,23,"COLLEGE/UNIVERSITY","u_of_a,_fayetteville",27559,0.69,1.6
"57",854,2021-08-16,"U OF A, FAYETTEVILLE",61,46,18,21,"COLLEGE/UNIVERSITY","u_of_a,_fayetteville",27559,0.65,1.67
"58",216,2021-08-30,"U OF A, FORT SMITH",33,12,16,6,"COLLEGE/UNIVERSITY","u_of_a,_fort_smith",6265,2.55,1.92
"59",2001,2021-08-26,"U OF A, FORT SMITH",28,11,11,6,"COLLEGE/UNIVERSITY","u_of_a,_fort_smith",6265,1.76,1.76
"60",1522,2021-08-23,"U OF A, FORT SMITH",19,9,8,5,"PUBLIC SCHOOL DISTRICT","u_of_a,_fort_smith",6265,1.28,1.44
"61",944,2021-08-16,"U OF A, FORT SMITH",10,6,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_fort_smith",6265,NA,0.96
"62",229,2021-08-30,"U OF A, LITTLE ROCK",23,6,5,6,"COLLEGE/UNIVERSITY","u_of_a,_little_rock",9581,0.52,0.63
"63",2161,2021-08-26,"U OF A, LITTLE ROCK",18,5,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_little_rock",9581,NA,0.52
"64",222,2021-08-30,"U OF A, MONTICELLO",17,7,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_monticello",2855,NA,2.45
"65",2101,2021-08-26,"U OF A, MONTICELLO",12,6,NA,NA,"COLLEGE/UNIVERSITY","u_of_a,_monticello",2855,NA,2.1
"66",1542,2021-08-23,"U OF A, MONTICELLO",11,8,7,0,"PUBLIC SCHOOL DISTRICT","u_of_a,_monticello",2855,2.45,2.8
"67",1293,2021-08-19,"U OF A, MONTICELLO",10,8,6,0,"COLLEGE/UNIVERSITY","u_of_a,_monticello",2855,2.1,2.8
