"","date","type","name","active_cases","cumulative_active_cases","cumulative_faculty_staff_cases","cumulative_student_cases","cumulative_total","all_faculty_staff_total","all_student_total","cumulative_group_total","district","district_lea","district_description","x2_or_more_races_total","asian_total","black_total","hispanic_total","native_american_native_alaskan_total","native_hawaiian_pacific_islander_total","white_total","student_total","Pct_Hispanic","Pct_White","Pct_Black","Student_Covid_Per1000","Active_Covid_Per1000"
"1",2021-09-02,"PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",173,NA,21,203,311,NA,NA,NA,"cabot_school_dist",4304000,"CABOT SCHOOL DISTRICT",612,142,269,671,36,19,8422,10171,0.07,0.83,0.03,19.96,17.01
"2",2021-09-02,"PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",150,NA,52,204,311,NA,NA,NA,"fort_smith_school_dist",6601000,"FORT SMITH SCHOOL DISTRICT",1290,737,1504,4703,124,17,5464,13839,0.34,0.39,0.11,14.74,10.84
"3",2021-09-02,"PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",124,NA,47,247,363,NA,NA,NA,"springdale_school_dist",7207000,"SPRINGDALE SCHOOL DISTRICT",392,321,480,10481,113,2997,7098,21882,0.48,0.32,0.02,11.29,5.67
"4",2021-09-02,"PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",107,NA,40,167,273,NA,NA,NA,"rogers_school_dist",405000,"ROGERS SCHOOL DISTRICT",469,290,234,7332,95,333,6602,15355,0.48,0.43,0.02,10.88,6.97
"5",2021-09-02,"PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",104,NA,36,222,316,NA,NA,NA,"bentonville_school_dist",401000,"BENTONVILLE SCHOOL DISTRICT",839,1388,562,2095,224,95,12767,17970,0.12,0.71,0.03,12.35,5.79
"6",2021-09-02,"PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",93,NA,11,138,172,NA,NA,NA,"jonesboro_school_dist",1608000,"JONESBORO SCHOOL DISTRICT",308,38,2960,903,9,0,2123,6341,0.14,0.33,0.47,21.76,14.67
"7",2021-09-02,"PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",83,NA,14,109,170,NA,NA,NA,"conway_school_dist",2301000,"CONWAY SCHOOL DISTRICT",460,165,2887,1094,18,5,5220,9849,0.11,0.53,0.29,11.07,8.43
"8",2021-09-02,"PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",74,NA,20,157,216,NA,NA,NA,"little_rock_school_dist",6001000,"LITTLE ROCK SCHOOL DISTRICT",169,691,12557,3247,69,22,3990,20745,0.16,0.19,0.61,7.57,3.57
"9",2021-09-02,"PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",69,NA,NA,NA,103,NA,NA,NA,"brookland_school_dist",1603000,"BROOKLAND SCHOOL DISTRICT",48,14,80,124,3,0,2488,2757,0.04,0.9,0.03,NA,25.03
"10",2021-09-02,"PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",69,NA,15,99,148,NA,NA,NA,"bryant_school_dist",6303000,"BRYANT SCHOOL DISTRICT",208,179,1677,1417,12,7,5714,9214,0.15,0.62,0.18,10.74,7.49
"11",2021-09-02,"PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",67,NA,15,102,147,NA,NA,NA,"pulaski_county_special_school_dist",6003000,"PULASKI COUNTY SPECIAL SCHOOL DISTRICT",433,290,5075,1098,48,5,4475,11424,0.1,0.39,0.44,8.93,5.86
