"","Date","Type","Name","Active_Cases","Cumulative_Active_cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","All_Faculty_Staff_Total","All_Student_Total","Cumulative_Group_Total"
"1",2021-08-30,"PUBLIC SCHOOL DISTRICT","PUBLIC SCHOOL DISTRICT",NA,NA,NA,NA,NA,NA,NA,NA
"2",2021-08-30,"PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",140,NA,17,163,247,NA,NA,NA
"3",2021-08-30,"PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",122,NA,45,163,247,NA,NA,NA
"4",2021-08-30,"PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",122,NA,34,210,288,NA,NA,NA
"5",2021-08-30,"PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",105,NA,36,140,225,NA,NA,NA
"6",2021-08-30,"PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",104,NA,31,183,262,NA,NA,NA
"7",2021-08-30,"PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",79,NA,18,142,189,NA,NA,NA
"8",2021-08-30,"PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",75,NA,11,103,126,NA,NA,NA
"9",2021-08-30,"PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",71,NA,12,97,139,NA,NA,NA
"10",2021-08-30,"PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",55,NA,7,63,104,NA,NA,NA
"11",2021-08-30,"PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",55,NA,11,55,77,NA,NA,NA
"12",2021-08-30,"PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",51,NA,13,82,113,NA,NA,NA
"13",2021-08-30,"PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",50,NA,13,78,113,NA,NA,NA
"14",2021-08-30,"PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",48,NA,15,131,196,NA,NA,NA
"15",2021-08-30,"PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",47,NA,NA,NA,71,NA,NA,NA
"16",2021-08-30,"PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",38,NA,13,57,81,NA,NA,NA
"18",2021-08-30,"PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",38,NA,11,48,77,NA,NA,NA
"19",2021-08-30,"PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",38,NA,NA,NA,52,NA,NA,NA
"20",2021-08-30,"PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",36,NA,12,83,96,NA,NA,NA
"21",2021-08-30,"PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",34,NA,12,33,54,NA,NA,NA
"22",2021-08-30,"PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",33,NA,NA,NA,45,NA,NA,NA
