"","date","cases_0_10","cases_11_to_17","cases_18_24","cases_25_34","cases_35_44","cases_45_54","cases_55_64","cases_65","cases_unknown","cases_0_17","cases_25_44","cases_45_64","new_cases_0_10","new_cases_11_to_17","new_cases_18_24","new_cases_25_34","new_cases_35_44","new_cases_45_54","new_cases_55_64","new_cases_65","new_cases_unknown","new_cases_0_17","new_cases_25_44","new_cases_45_64","deaths_0_10","deaths_11_to_17","deaths_18_24","deaths_25_34","deaths_35_44","deaths_45_54","deaths_55_64","deaths_65","deaths_unknown","deaths_0_17","deaths_25_44","deaths_45_64","new_deaths_0_10","new_deaths_11_to_17","new_deaths_18_24","new_deaths_25_34","new_deaths_35_44","new_deaths_45_54","new_deaths_55_64","new_deaths_65","new_deaths_unknown","new_deaths_0_17","new_deaths_25_44","new_deaths_45_64","new_cases_11_17","new_cases_0_10_2","new_cases_11_17_2","new_cases_18_24_2","new_cases_25_34_2","new_cases_35_44_2","new_cases_45_54_2","new_cases_55_64_2","new_cases_65_2","new_deaths_11_17"
"2","2020-10-12",5442,6565,14632,15971,14666,13302,10705,12204,0,NA,NA,NA,34,NA,74,105,108,93,86,118,NA,NA,NA,NA,0,0,3,22,42,100,229,1190,0,NA,NA,NA,0,NA,0,0,0,2,2,13,NA,NA,NA,NA,36,34,36,74,105,108,93,86,118,0
"1:1","2020-10-11",5408,6529,14558,15866,14558,13209,10619,12086,0,NA,NA,NA,35,42,88,109,99,82,70,88,0,NA,NA,NA,0,0,3,22,42,98,227,1177,0,NA,NA,NA,0,0,0,0,1,1,4,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:2","2020-10-10",5373,6487,14470,15757,14459,13127,10549,11998,0,NA,NA,NA,74,74,104,136,126,135,107,152,0,NA,NA,NA,0,0,3,22,41,97,223,1166,0,NA,NA,NA,0,0,0,0,1,1,2,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:3","2020-10-09",5299,6413,14366,15621,14333,12992,10442,11846,0,NA,NA,NA,72,87,169,193,153,143,173,177,0,NA,NA,NA,0,0,3,22,40,96,221,1148,0,NA,NA,NA,0,0,0,0,1,0,3,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:4","2020-10-08",5227,6326,14197,15428,14180,12849,10269,11669,0,NA,NA,NA,54,92,134,165,149,192,146,333,0,NA,NA,NA,0,0,3,22,39,96,218,1125,0,NA,NA,NA,0,0,0,0,0,0,0,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:5","2020-10-07",5173,6234,14063,15263,14031,12657,10123,11336,0,NA,NA,NA,45,66,118,103,120,108,110,139,0,NA,NA,NA,0,0,3,22,39,96,218,1104,0,NA,NA,NA,0,0,1,0,0,2,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:6","2020-10-06",5128,6168,13945,15160,13911,12549,10013,11197,0,NA,NA,NA,40,60,80,95,68,104,86,110,0,NA,NA,NA,0,0,2,22,39,94,218,1094,0,NA,NA,NA,0,0,0,0,1,1,3,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:7","2020-10-05",5088,6108,13865,15065,13843,12445,9927,11089,0,NA,NA,NA,33,32,53,58,59,50,57,75,0,NA,NA,NA,0,0,2,22,38,93,215,1077,0,NA,NA,NA,0,0,0,0,0,2,2,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:8","2020-10-04",5055,6076,13812,15007,13784,12395,9870,11014,0,NA,NA,NA,40,38,66,85,68,56,58,77,0,NA,NA,NA,0,0,2,22,38,91,213,1059,0,NA,NA,NA,0,0,0,0,0,0,3,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:9","2020-10-03",5015,6038,13746,14922,13716,12339,9812,10937,0,NA,NA,NA,48,60,97,100,121,111,93,116,0,NA,NA,NA,0,0,2,22,38,91,210,1044,0,NA,NA,NA,0,0,0,0,0,2,3,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:10","2020-10-02",4967,5978,13649,14822,13595,12228,9719,10821,0,NA,NA,NA,40,78,141,144,140,151,109,155,0,NA,NA,NA,0,0,2,22,38,89,207,1033,0,NA,NA,NA,0,0,0,0,1,0,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:11","2020-10-01",4927,5900,13508,14678,13455,12077,9610,10666,0,NA,NA,NA,56,97,155,172,141,141,143,219,0,NA,NA,NA,0,0,2,22,37,89,206,1028,0,NA,NA,NA,0,0,0,0,1,1,1,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:12","2020-09-30",4871,5803,13353,14506,13314,11936,9467,10447,0,NA,NA,NA,60,86,132,153,117,139,136,119,0,NA,NA,NA,0,0,2,22,36,88,205,1016,0,NA,NA,NA,0,0,0,0,0,1,3,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:13","2020-09-29",4811,5717,13221,14353,13197,11797,9331,10328,0,NA,NA,NA,38,54,110,105,104,99,91,105,0,NA,NA,NA,0,0,2,22,36,87,202,1001,0,NA,NA,NA,0,0,0,0,0,2,1,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:14","2020-09-28",4773,5663,13111,14248,13093,11698,9240,10223,0,NA,NA,NA,40,46,123,154,148,94,90,122,0,NA,NA,NA,0,0,2,22,36,85,201,983,0,NA,NA,NA,0,0,0,0,0,2,3,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:15","2020-09-27",4743,5617,12988,14094,12945,11604,9150,10101,0,NA,NA,NA,23,37,68,105,69,70,58,57,0,NA,NA,NA,0,0,2,22,36,83,199,966,0,NA,NA,NA,0,0,0,0,0,0,3,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:16","2020-09-26",4720,5580,12920,13989,12876,11534,9092,10044,0,NA,NA,NA,46,49,105,133,145,134,103,94,0,NA,NA,NA,0,0,2,22,36,83,196,946,0,NA,NA,NA,0,0,0,0,-1,1,1,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:17","2020-09-25",4674,5531,12815,13856,12731,11400,8989,9950,0,NA,NA,NA,53,92,148,143,120,118,89,134,0,NA,NA,NA,0,0,2,22,37,82,195,928,0,NA,NA,NA,0,0,0,0,0,0,1,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:18","2020-09-24",4621,5439,12667,13713,12611,11282,8900,9816,0,NA,NA,NA,40,93,202,150,142,141,130,188,0,NA,NA,NA,0,0,2,22,37,82,194,909,0,NA,NA,NA,0,0,0,0,1,0,3,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:19","2020-09-23",4581,5346,12465,13563,12469,11141,8770,9628,0,NA,NA,NA,54,77,164,146,131,152,110,148,0,NA,NA,NA,0,0,2,22,36,82,191,896,0,NA,NA,NA,0,0,0,1,0,2,3,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:20","2020-09-22",4527,5269,12301,13417,12338,10989,8660,9480,0,NA,NA,NA,42,31,120,104,83,89,61,87,0,NA,NA,NA,0,0,2,21,36,80,188,882,0,NA,NA,NA,0,0,0,0,0,1,2,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:21","2020-09-21",4485,5238,12181,13313,12255,10900,8599,9393,0,NA,NA,NA,46,70,109,95,77,69,73,102,0,NA,NA,NA,0,0,2,21,36,79,186,873,0,NA,NA,NA,0,0,0,0,2,0,1,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:22","2020-09-20",4439,5168,12072,13218,12178,10831,8526,9291,0,NA,NA,NA,19,52,92,85,102,83,57,73,0,NA,NA,NA,0,0,2,21,34,79,185,860,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:23","2020-09-19",4420,5116,11980,13133,12076,10748,8469,9218,0,NA,NA,NA,64,117,274,136,142,120,112,113,0,NA,NA,NA,0,0,2,21,34,79,185,860,0,NA,NA,NA,0,0,0,0,0,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:24","2020-09-18",4356,4999,11706,12997,11934,10628,8357,9105,0,NA,NA,NA,35,66,166,154,133,118,99,100,0,NA,NA,NA,0,0,2,21,34,79,185,852,0,NA,NA,NA,0,0,0,0,0,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:25","2020-09-17",4321,4933,11540,12843,11801,10510,8258,9005,0,NA,NA,NA,47,88,235,142,121,120,108,121,0,NA,NA,NA,0,0,2,21,34,79,185,845,0,NA,NA,NA,0,0,0,2,0,0,1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:26","2020-09-16",4274,4845,11305,12701,11680,10390,8150,8884,0,NA,NA,NA,46,65,109,95,107,100,92,108,0,NA,NA,NA,0,0,2,19,34,79,184,839,0,NA,NA,NA,0,0,0,0,1,0,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:27","2020-09-15",4228,4780,11196,12606,11573,10280,8058,8776,0,NA,NA,NA,40,70,165,85,94,106,114,196,0,NA,NA,NA,0,0,2,19,33,79,181,836,0,NA,NA,NA,0,0,1,3,4,8,25,117,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:28","2020-09-14",4188,4710,11031,12521,11479,10174,7944,8580,0,NA,NA,NA,25,24,78,54,49,54,54,70,0,NA,NA,NA,0,0,1,16,29,71,156,719,0,NA,NA,NA,0,0,0,0,0,1,1,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:29","2020-09-13",4163,4686,10953,12467,11430,10120,7890,8510,0,NA,NA,NA,23,32,119,80,56,55,45,99,0,NA,NA,NA,0,0,1,16,29,70,155,710,0,NA,NA,NA,0,0,0,0,0,2,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1:30","2020-09-12",4140,4654,10834,12387,11374,10065,7845,8411,0,NA,NA,NA,-4446,-5657,-12458,-5103,3142,NA,NA,NA,NA,NA,NA,NA,0,0,1,16,29,68,155,700,0,NA,NA,NA,0,-1,-44,-205,-657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
