"","County","Date","Population","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Negative","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Number_Tested","New_Tests_Dashboard","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"1","Arkansas_all_counties",2020-09-02,3017804,2.05818535597408,24.4366101973488,2.03790570891947,16.6014757751,5010,62112,615,675337,56261,614,841,27,737449,6424,8.42254854233988,9.57347447073474,57102,1.47280305418374,98.5271969458163,435,12,4341,35,23,8.68263473053892,90,556,2,20.6896551724138
"2","Arkansas_all_counties",2020-09-01,3017804,2.03780629888488,24.2237401766318,0.90463131469108,16.687631138404,5036,61497,273,669528,55647,686,814,17,731025,665109,8.41243459526008,0.0410459037541215,56461,1.44170312250934,98.5582968774907,423,3,4306,93,90,8.39952343129468,85,554,12,20.0945626477541
"3","Arkansas_all_counties",2020-08-31,3017804,2.02875998573797,24.0915248306384,1.2194297575323,18.1125083007379,5466,61224,368,665811,54961,553,797,13,727035,14348,8.42105263157895,2.56481739615277,55758,1.42939129810969,98.5706087018903,420,29,4213,31,2,7.68386388583974,87,542,1,20.7142857142857
"4","Arkansas_all_counties",2020-08-30,3017804,2.01656568816265,23.6160797719136,1.58393321766424,18.7686145289754,5664,60856,478,651831,54408,275,784,12,712687,5717,8.53895188210252,8.36102851145706,55192,1.42049572401797,98.579504275982,391,7,4182,5,-2,6.90324858757062,84,541,1,21.4833759590793
"5","Arkansas_all_counties",2020-08-29,3017804,2.00072635598601,23.4266373826796,2.63436591640809,18.1357039754736,5473,60378,795,646592,54133,468,772,16,706970,8915,8.54039068135847,8.91755468311834,54905,1.4060650214006,98.5939349785994,384,-23,4177,35,58,7.01626164809063,90,540,2,23.4375
"6","Arkansas_all_counties",2020-08-28,3017804,1.97438269682193,23.1312238965818,2.77685363264148,17.105153283646,5162,59583,838,638472,53665,1000,756,17,698055,8027,8.53557384446784,10.4397657904572,54421,1.38916962202091,98.6108303779791,407,-26,4142,41,67,7.8845408756296,95,538,5,23.3415233415233
"7","Arkansas_all_counties",2020-08-27,3017804,1.94661416049551,22.86523578072,2.39246816559326,17.6982998233152,5341,58745,722,631283,52665,764,739,7,690028,6755,8.51342264371881,10.6883789785344,53404,1.38379147629391,98.6162085237061,433,-2,4101,40,42,8.10709604942894,99,533,8,22.8637413394919
"8","Arkansas_all_counties",2020-08-26,3017804,1.92268947883958,22.6413975195208,2.15057041477843,17.8606695464649,5390,58023,649,625250,51901,550,732,21,683273,4716,8.49192050615201,13.7616624257846,52633,1.39076244941387,98.6092375505861,435,-7,4061,48,55,8.07050092764378,108,525,11,24.8275862068966
"9","Arkansas_all_counties",2020-08-25,3017804,1.9011837746918,22.4851249451588,1.590560553303,17.6022034565532,5312,57374,480,621183,51351,662,711,15,678557,4853,8.45529557575856,9.89078920255512,52062,1.36567938227498,98.634320617725,442,-24,4013,51,75,8.32078313253012,108,514,7,24.4343891402715
"10","Arkansas_all_counties",2020-08-24,3017804,1.88527816915877,22.3243126458842,1.060373702202,18.2549960169713,5509,56894,320,616810,50689,438,696,9,673704,2878,8.44495505444528,11.1188325225851,51385,1.35448087963413,98.6455191203659,466,-34,3962,42,76,8.45888546015611,108,507,5,23.175965665236
