"","date","sub_detail","cases","new_cases"
"1",2020-10-11,"Female",46240,364
"2",2020-10-11,"Gender Unknown",373,18
"3",2020-10-11,"Male",46220,231
"4",2020-10-10,"Female",45876,421
"5",2020-10-10,"Gender Unknown",355,70
"6",2020-10-10,"Male",45989,417
"7",2020-10-09,"Female",45455,629
"8",2020-10-09,"Gender Unknown",285,24
"9",2020-10-09,"Male",45572,514
"10",2020-10-08,"Female",44826,740
"11",2020-10-08,"Gender Unknown",261,7
"12",2020-10-08,"Male",45058,518
"13",2020-10-07,"Female",44086,408
"14",2020-10-07,"Gender Unknown",254,12
"15",2020-10-07,"Male",44540,389
"16",2020-10-06,"Female",43678,329
"17",2020-10-06,"Gender Unknown",242,-33
"18",2020-10-06,"Male",44151,345
"19",2020-10-05,"Female",43349,202
"20",2020-10-05,"Gender Unknown",275,18
"21",2020-10-05,"Male",43806,197
"22",2020-10-04,"Female",43147,287
"23",2020-10-04,"Gender Unknown",257,19
"24",2020-10-04,"Male",43609,462
"25",2020-10-03,"Female",42860,407
"26",2020-10-03,"Gender Unknown",238,-21
"27",2020-10-03,"Male",43427,360
"28",2020-10-02,"Female",42453,578
"29",2020-10-02,"Gender Unknown",259,-107
"30",2020-10-02,"Male",43067,487
"31",2020-10-01,"Female",41875,655
"32",2020-10-01,"Gender Unknown",366,-49
"33",2020-10-01,"Male",42580,518
"34",2020-09-30,"Female",41220,482
"35",2020-09-30,"Gender Unknown",415,7
"36",2020-09-30,"Male",42062,467
"37",2020-09-29,"Female",40738,371
"38",2020-09-29,"Gender Unknown",422,9
"39",2020-09-29,"Male",41595,326
"40",2020-09-28,"Female",40367,414
"41",2020-09-28,"Gender Unknown",413,-5
"42",2020-09-28,"Male",41269,398
"43",2020-09-27,"Female",39953,252
"44",2020-09-27,"Gender Unknown",418,-14
"45",2020-09-27,"Male",40871,249
"46",2020-09-26,"Female",39701,384
"47",2020-09-26,"Gender Unknown",432,5
"48",2020-09-26,"Male",40622,420
"49",2020-09-25,"Female",39317,470
"50",2020-09-25,"Gender Unknown",427,9
"51",2020-09-25,"Male",40202,418
"52",2020-09-24,"Female",38847,617
"53",2020-09-24,"Gender Unknown",418,35
"54",2020-09-24,"Male",39784,484
"55",2020-09-23,"Female",38230,548
"56",2020-09-23,"Gender Unknown",383,33
"57",2020-09-23,"Male",39300,401
"58",2020-09-22,"Female",37732,309
"59",2020-09-22,"Gender Unknown",350,20
"60",2020-09-22,"Male",38899,288
"61",2020-09-21,"Female",37423,345
"62",2020-09-21,"Gender Unknown",330,-2
"63",2020-09-21,"Male",38611,298
"64",2020-09-20,"Female",37078,297
"65",2020-09-20,"Gender Unknown",332,1
"66",2020-09-20,"Male",38313,265
"67",2020-09-19,"Female",36781,588
"68",2020-09-19,"Gender Unknown",331,1
"69",2020-09-19,"Male",38048,489
"70",2020-09-18,"Female",36193,383
"71",2020-09-18,"Gender Unknown",330,10
"72",2020-09-18,"Male",37559,478
"73",2020-09-17,"Female",35810,512
"74",2020-09-17,"Gender Unknown",320,-6
"75",2020-09-17,"Male",37081,486
"76",2020-09-16,"Female",35298,394
"77",2020-09-16,"Gender Unknown",326,22
"78",2020-09-16,"Male",36595,306
"79",2020-09-15,"Female",34904,455
"80",2020-09-15,"Gender Unknown",304,11
"81",2020-09-15,"Male",36289,404
"82",2020-09-14,"Female",34449,221
"83",2020-09-14,"Gender Unknown",293,-3
"84",2020-09-14,"Male",35885,190
"85",2020-09-13,"Female",34228,261
"86",2020-09-13,"Gender Unknown",296,0
"87",2020-09-13,"Male",35695,248
"88",2020-09-12,"Female",33967,950
"89",2020-09-12,"Gender Unknown",296,11
"90",2020-09-12,"Male",35447,838
"91",2020-09-11,"Female",33017,563
"92",2020-09-11,"Gender Unknown",285,10
"93",2020-09-11,"Male",34609,534
"94",2020-09-10,"Female",32454,205
"95",2020-09-10,"Gender Unknown",275,-2
"96",2020-09-10,"Male",34075,167
"97",2020-09-09,"Female",32249,212
"98",2020-09-09,"Gender Unknown",277,6
"99",2020-09-09,"Male",33880,167
"100",2020-09-08,"Female",32037,175
"101",2020-09-08,"Gender Unknown",271,-1
"102",2020-09-08,"Male",33713,120
"103",2020-09-07,"Female",31862,182
"104",2020-09-07,"Gender Unknown",272,10
"105",2020-09-07,"Male",33593,158
"106",2020-09-06,"Female",31680,372
"107",2020-09-06,"Gender Unknown",262,14
"108",2020-09-06,"Male",33435,301
"109",2020-09-05,"Female",31308,291
"110",2020-09-05,"Gender Unknown",248,1
"111",2020-09-05,"Male",33134,223
"112",2020-09-04,"Female",31017,542
"113",2020-09-04,"Gender Unknown",247,22
"114",2020-09-04,"Male",32911,530
"115",2020-09-03,"Female",30475,549
"116",2020-09-03,"Gender Unknown",225,21
"117",2020-09-03,"Male",32381,399
"118",2020-09-02,"Female",29926,362
"119",2020-09-02,"Gender Unknown",204,6
"120",2020-09-02,"Male",31982,247
"121",2020-09-01,"Female",29564,166
"122",2020-09-01,"Gender Unknown",198,-16
"123",2020-09-01,"Male",31735,123
"124",2020-08-31,"Female",29398,205
"125",2020-08-31,"Gender Unknown",214,3
"126",2020-08-31,"Male",31612,160
"127",2020-08-30,"Female",29193,232
"128",2020-08-30,"Gender Unknown",211,12
"129",2020-08-30,"Male",31452,234
"130",2020-08-29,"Female",28961,324
"131",2020-08-29,"Gender Unknown",199,36
"132",2020-08-29,"Male",31218,435
"133",2020-08-28,"Female",28637,372
"134",2020-08-28,"Gender Unknown",163,8
"135",2020-08-28,"Male",30783,458
"136",2020-08-27,"Female",28265,357
"137",2020-08-27,"Gender Unknown",155,12
"138",2020-08-27,"Male",30325,353
"139",2020-08-26,"Female",27908,324
"140",2020-08-26,"Gender Unknown",143,2
"141",2020-08-26,"Male",29972,324
"142",2020-08-25,"Female",27584,251
"143",2020-08-25,"Gender Unknown",141,1
"144",2020-08-25,"Male",29648,228
"145",2020-08-24,"Female",27333,183
"146",2020-08-24,"Gender Unknown",141,20
"147",2020-08-24,"Male",29420,117
"148",2020-08-23,"Female",27150,194
"149",2020-08-23,"Gender Unknown",121,-1
"150",2020-08-23,"Male",29303,182
"151",2020-08-22,"Female",26956,288
"152",2020-08-22,"Gender Unknown",122,3
"153",2020-08-22,"Male",29121,256
"154",2020-08-21,"Female",26668,460
"155",2020-08-21,"Gender Unknown",119,11
"156",2020-08-21,"Male",28865,416
"157",2020-08-20,"Female",26208,288
"158",2020-08-20,"Gender Unknown",108,2
"159",2020-08-20,"Male",28449,259
"160",2020-08-19,"Female",25920,376
"161",2020-08-19,"Gender Unknown",106,3
"162",2020-08-19,"Male",28190,350
"163",2020-08-18,"Female",25544,225
"164",2020-08-18,"Gender Unknown",103,9
"165",2020-08-18,"Male",27840,174
"166",2020-08-17,"Female",25319,200
"167",2020-08-17,"Gender Unknown",92,3
"168",2020-08-17,"Male",27666,209
"169",2020-08-16,"Female",25119,275
"170",2020-08-16,"Gender Unknown",89,15
"171",2020-08-16,"Male",27457,383
"172",2020-08-15,"Female",24844,-209
"173",2020-08-15,"Gender Unknown",74,-6
"174",2020-08-15,"Male",27074,-185
"175",2020-08-14,"Female",25053,251
"176",2020-08-14,"Gender Unknown",80,3
"177",2020-08-14,"Male",27259,372
"178",2020-08-13,"Female",24802,354
"179",2020-08-13,"Gender Unknown",77,-1
"180",2020-08-13,"Male",26887,299
"181",2020-08-12,"Female",24448,402
"182",2020-08-12,"Gender Unknown",78,-5
"183",2020-08-12,"Male",26588,306
"184",2020-08-11,"Female",24046,209
"185",2020-08-11,"Gender Unknown",83,-31
"186",2020-08-11,"Male",26282,205
"187",2020-08-10,"Female",23837,330
"188",2020-08-10,"Gender Unknown",114,7
"189",2020-08-10,"Male",26077,308
"190",2020-08-09,"Female",23507,261
"191",2020-08-09,"Gender Unknown",107,7
"192",2020-08-09,"Male",25769,304
"193",2020-08-08,"Female",23246,399
"194",2020-08-08,"Gender Unknown",100,-21
"195",2020-08-08,"Male",25465,394
"196",2020-08-07,"Female",22847,454
"197",2020-08-07,"Gender Unknown",121,1
"198",2020-08-07,"Male",25071,556
"199",2020-08-06,"Female",22393,417
"200",2020-08-06,"Gender Unknown",120,-3
"201",2020-08-06,"Male",24515,321
"202",2020-08-05,"Female",21976,403
"203",2020-08-05,"Gender Unknown",123,13
"204",2020-08-05,"Male",24194,496
"205",2020-08-04,"Female",21573,319
"206",2020-08-04,"Gender Unknown",110,8
"207",2020-08-04,"Male",23698,357
"208",2020-08-03,"Female",21154,433
"209",2020-08-03,"Gender Unknown",102,12
"210",2020-08-03,"Male",23341,342
"211",2020-08-02,"Female",20721,353
"212",2020-08-02,"Gender Unknown",90,10
"213",2020-08-02,"Male",22999,274
"214",2020-08-01,"Female",20368,304
"215",2020-08-01,"Gender Unknown",80,29
"216",2020-08-01,"Male",22725,329
"217",2020-07-31,"Female",20064,446
"218",2020-07-31,"Gender Unknown",51,-36
"219",2020-07-31,"Male",22396,342
"220",2020-07-30,"Female",19618,407
"221",2020-07-30,"Gender Unknown",87,7
"222",2020-07-30,"Male",22054,377
"223",2020-07-29,"Female",19211,339
"224",2020-07-29,"Gender Unknown",80,-13
"225",2020-07-29,"Male",21677,461
"226",2020-07-28,"Female",18872,226
"227",2020-07-28,"Gender Unknown",93,-26
"228",2020-07-28,"Male",21216,352
"229",2020-07-27,"Female",18646,612
"230",2020-07-27,"Gender Unknown",119,28
"231",2020-07-27,"Male",20864,366
"232",2020-07-26,"Female",18034,337
"233",2020-07-26,"Gender Unknown",91,7
"234",2020-07-26,"Male",20498,298
"235",2020-07-25,"Female",17697,369
"236",2020-07-25,"Gender Unknown",84,10
"237",2020-07-25,"Male",20200,353
"238",2020-07-24,"Female",17328,472
"239",2020-07-24,"Gender Unknown",74,24
"240",2020-07-24,"Male",19847,494
"241",2020-07-23,"Female",16856,538
"242",2020-07-23,"Gender Unknown",50,1
"243",2020-07-23,"Male",19353,474
"244",2020-07-22,"Female",16318,330
"245",2020-07-22,"Gender Unknown",49,-8
"246",2020-07-22,"Male",18879,269
"247",2020-07-21,"Female",15988,428
"248",2020-07-21,"Gender Unknown",57,-65
"249",2020-07-21,"Male",18610,365
"250",2020-07-20,"Female",15560,371
"251",2020-07-20,"Gender Unknown",122,35
"252",2020-07-20,"Male",18245,293
"253",2020-07-19,"Female",15189,366
"254",2020-07-19,"Gender Unknown",87,28
"255",2020-07-19,"Male",17952,301
"256",2020-07-18,"Female",14823,387
"257",2020-07-18,"Gender Unknown",59,9
"258",2020-07-18,"Male",17651,376
"259",2020-07-17,"Female",14436,340
"260",2020-07-17,"Gender Unknown",51,-8
"261",2020-07-17,"Male",17275,316
"262",2020-07-16,"Female",14096,445
"263",2020-07-16,"Gender Unknown",59,-80
"264",2020-07-16,"Male",16959,452
"265",2020-07-15,"Female",13651,259
"266",2020-07-15,"Gender Unknown",139,-34
"267",2020-07-15,"Male",16507,339
"268",2020-07-14,"Female",13392,430
"269",2020-07-14,"Gender Unknown",173,-79
"270",2020-07-14,"Male",16168,443
"271",2020-07-13,"Female",12962,302
"272",2020-07-13,"Gender Unknown",252,5
"273",2020-07-13,"Male",15725,265
"274",2020-07-12,"Female",12660,235
"275",2020-07-12,"Gender Unknown",247,-3
"276",2020-07-12,"Male",15460,271
"277",2020-07-11,"Female",12425,373
"278",2020-07-11,"Gender Unknown",250,24
"279",2020-07-11,"Male",15189,664
"280",2020-07-10,"Female",12052,325
"281",2020-07-10,"Gender Unknown",226,3
"282",2020-07-10,"Male",14525,423
"283",2020-07-09,"Female",11727,373
"284",2020-07-09,"Gender Unknown",223,24
"285",2020-07-09,"Male",14102,409
"286",2020-07-08,"Female",11354,352
"287",2020-07-08,"Gender Unknown",199,-17
"288",2020-07-08,"Male",13693,399
"289",2020-07-07,"Female",11002,173
"290",2020-07-07,"Gender Unknown",216,-95
"291",2020-07-07,"Male",13294,181
"292",2020-07-06,"Female",10829,248
"293",2020-07-06,"Gender Unknown",311,-20
"294",2020-07-06,"Male",13113,211
"295",2020-07-05,"Female",10581,270
"296",2020-07-05,"Gender Unknown",331,38
"297",2020-07-05,"Male",12902,297
"298",2020-07-04,"Female",10311,267
"299",2020-07-04,"Gender Unknown",293,22
"300",2020-07-04,"Male",12605,298
"301",2020-07-03,"Female",10044,270
"302",2020-07-03,"Gender Unknown",271,3
"303",2020-07-03,"Male",12307,274
"304",2020-07-02,"Female",9774,373
"305",2020-07-02,"Gender Unknown",268,-3
"306",2020-07-02,"Male",12033,508
"307",2020-07-01,"Female",9401,222
"308",2020-07-01,"Gender Unknown",271,-89
"309",2020-07-01,"Male",11525,287
"310",2020-06-30,"Female",9179,260
"311",2020-06-30,"Gender Unknown",360,-25
"312",2020-06-30,"Male",11238,285
"313",2020-06-29,"Female",8919,225
"314",2020-06-29,"Gender Unknown",385,1
"315",2020-06-29,"Male",10953,225
"316",2020-06-28,"Female",8706,252
"317",2020-06-28,"Gender Unknown",384,41
"318",2020-06-28,"Male",10728,215
"319",2020-06-27,"Female",8454,267
"320",2020-06-27,"Gender Unknown",343,-12
"321",2020-06-27,"Male",10513,267
"322",2020-06-26,"Female",8139,366
"323",2020-06-26,"Gender Unknown",355,-42
"324",2020-06-26,"Male",10246,354
"325",2020-06-25,"Female",7773,236
"326",2020-06-25,"Gender Unknown",397,235
"327",2020-06-25,"Male",9892,216
"328",2020-06-24,"Female",7537,244
"329",2020-06-24,"Gender Unknown",162,44
"330",2020-06-24,"Male",9676,409
"331",2020-06-23,"Female",7293,192
"332",2020-06-23,"Gender Unknown",118,23
"333",2020-06-23,"Male",9267,409
"334",2020-06-22,"Female",7101,225
"335",2020-06-22,"Gender Unknown",95,2
"336",2020-06-22,"Male",8887,295
"337",2020-06-21,"Female",6876,218
"338",2020-06-21,"Gender Unknown",93,-3
"339",2020-06-21,"Male",8592,204
"340",2020-06-20,"Female",6658,248
"341",2020-06-20,"Gender Unknown",96,-3
"342",2020-06-20,"Male",8388,266
"343",2020-06-19,"Female",6410,311
"344",2020-06-19,"Gender Unknown",99,25
"345",2020-06-19,"Male",8122,367
"346",2020-06-18,"Female",6099,103
"347",2020-06-18,"Gender Unknown",74,-7
"348",2020-06-18,"Male",7755,226
"349",2020-06-17,"Female",5996,182
"350",2020-06-17,"Gender Unknown",81,0
"351",2020-06-17,"Male",7529,233
"352",2020-06-16,"Female",5814,126
"353",2020-06-16,"Gender Unknown",81,8
"354",2020-06-16,"Male",7296,140
"355",2020-06-15,"Female",5688,288
"356",2020-06-15,"Gender Unknown",73,2
"357",2020-06-15,"Male",7156,198
"358",2020-06-14,"Female",5400,172
"359",2020-06-14,"Gender Unknown",71,6
"360",2020-06-14,"Male",6958,228
"361",2020-06-13,"Female",5300,204
"362",2020-06-13,"Gender Unknown",65,14
"363",2020-06-13,"Male",6730,330
"364",2020-06-12,"Female",5096,268
"365",2020-06-12,"Gender Unknown",51,11
"366",2020-06-12,"Male",6400,452
"367",2020-06-11,"Female",4828,242
"368",2020-06-11,"Gender Unknown",40,-3
"369",2020-06-11,"Male",5948,209
"370",2020-06-10,"Female",4586,138
"371",2020-06-10,"Gender Unknown",43,9
"372",2020-06-10,"Male",5739,141
"373",2020-06-09,"Female",4448,142
"374",2020-06-09,"Gender Unknown",34,4
"375",2020-06-09,"Male",5598,194
"376",2020-06-08,"Female",4306,158
"377",2020-06-08,"Gender Unknown",30,3
"378",2020-06-08,"Male",5404,152
"379",2020-06-07,"Female",4148,158
"380",2020-06-07,"Gender Unknown",27,2
"381",2020-06-07,"Male",5251,165
"382",2020-06-06,"Female",3990,232
"383",2020-06-06,"Gender Unknown",25,4
"384",2020-06-06,"Male",5086,214
"385",2020-06-05,"Female",3758,104
"386",2020-06-05,"Gender Unknown",21,-2
"387",2020-06-05,"Male",4872,124
"388",2020-06-04,"Female",3654,204
"389",2020-06-04,"Gender Unknown",23,-12
"390",2020-06-04,"Male",4748,226
"391",2020-06-03,"Female",3450,150
"392",2020-06-03,"Gender Unknown",35,-28
"393",2020-06-03,"Male",4482,127
"394",2020-06-02,"Female",3300,230
"395",2020-06-02,"Gender Unknown",63,-18
"396",2020-06-02,"Male",4455,163
"397",2020-06-01,"Female",3070,67
"398",2020-06-01,"Gender Unknown",81,60
"399",2020-06-01,"Male",4292,67
"400",2020-05-31,"Female",3003,126
"401",2020-05-31,"Gender Unknown",21,4
"402",2020-05-31,"Male",4225,110
"403",2020-05-30,"Female",2877,262
"404",2020-05-30,"Gender Unknown",21,4
"405",2020-05-30,"Male",4115,209
"406",2020-05-28,"Female",2615,NA
"407",2020-05-28,"Gender Unknown",17,NA
"408",2020-05-28,"Male",3906,NA
