"","OBJECTID","county_nam","fhwa_numbe","FIPS","positive","negative","pending","lab_prvt","lab_pub","Recoveries","deaths","total_tests","lcase_name","pos_range","neg_range","border_report","active_cases","POP_5YR_EST_2018","confirmed_pos","probable_pos","confirmed_neg","probable_neg","confirmed_recov","probable_recov","confirmed_death","probable_death","confirmed_active","probable_active","pcr_test","antigen_test","pcr_pos_test","pcr_neg_test","antigen_pos_test","antigen_neg_test","total_pos_test","total_neg_test","Shape__Area","Shape__Length","mydate"
"1",1,"Missing County Info",5,"05",1641,27797,0,29243,195,1031,0,29424,"missing","1641","27797","Not Applicable",610,NA,1459,182,26518,1279,891,140,0,0,568,42,27977,1447,1459,26518,168,1279,1627,27797,11297.6600341797,8800.43873569405,2020-09-13
"2",2,"Howard",61,"061",448,3359,0,2748,1059,425,8,3811,"howard","448","3359","Not Applicable",15,13389,446,2,3354,5,423,2,8,0,15,0,3800,11,446,3354,6,5,452,3359,1541631052.86731,247879.823488919,2020-09-13
"3",3,"Pulaski",119,"119",8067,106968,0,96087,18948,7274,121,115103,"pulaski","8067","106968","Not Applicable",672,393463,7900,167,105642,1326,7153,121,120,1,627,45,113542,1561,7900,105642,235,1326,8135,106968,2089380947.64233,284069.084631858,2020-09-13
"4",4,"Lonoke",85,"085",920,14823,0,13263,2480,820,7,15784,"lonoke","920","14823","Not Applicable",93,72206,837,83,14014,809,759,61,7,0,71,22,14851,933,837,14014,124,809,961,14823,2079903589.05444,246137.911494215,2020-09-13
"5",5,"Prairie",117,"117",131,1724,0,1484,371,119,1,1857,"prairie","131","1724","Not Applicable",11,8244,127,4,1694,30,116,3,1,0,10,1,1821,36,127,1694,6,30,133,1724,1748665963.44409,269110.445244305,2020-09-13
"6",6,"Desha",41,"041",260,3227,0,2941,546,239,5,3487,"desha","260","3227","https://bit.ly/2T74BCM",16,11887,259,1,3209,18,239,0,5,0,15,1,3468,19,259,3209,1,18,260,3227,2100180171.29761,393743.785753218,2020-09-13
"7",7,"Phillips",107,"107",432,5455,0,3679,2208,409,10,5889,"phillips","432","5455","https://bit.ly/2T74BCM",13,19034,430,2,5428,27,407,2,10,0,13,0,5858,31,430,5428,4,27,434,5455,1885264368.20239,280421.016626451,2020-09-13
"8",8,"Searcy",129,"129",127,1635,0,1465,297,113,0,1761,"searcy","127","1635","Not Applicable",14,7923,124,3,1620,15,110,3,0,0,14,0,1744,17,124,1620,2,15,126,1635,1729575196.3103,184103.839471151,2020-09-13
"9",9,"Independence",63,"063",906,8996,0,8139,1763,812,12,9911,"independence","906","8996","Not Applicable",82,37264,869,37,8977,19,780,32,12,0,77,5,9846,65,869,8977,46,19,915,8996,1997479703.64404,228003.580116565,2020-09-13
"10",10,"Jackson",67,"067",243,5509,0,1250,4502,198,1,5767,"jackson","243","5509","Not Applicable",44,17225,233,10,5499,10,192,6,1,0,40,4,5732,35,233,5499,25,10,258,5509,1661121959.66943,241190.808602371,2020-09-13
"11",11,"Mississippi",93,"093",1499,10343,0,8895,2947,1366,37,11842,"mississippi","1499","10343","https://bit.ly/2T74BCM",96,42831,1492,7,10340,3,1361,5,37,0,94,2,11832,10,1492,10340,7,3,1499,10343,2397434695.37231,293377.92435692,2020-09-13
"12",12,"Greene",55,"055",715,10969,0,9781,1903,640,7,11688,"greene","715","10969","https://bit.ly/2T74BCM",68,44623,712,3,10957,12,638,2,7,0,67,1,11669,19,712,10957,7,12,719,10969,1501198851.64258,195400.850739011,2020-09-13
"13",13,"Clay",21,"021",229,3350,0,3143,436,187,5,3580,"clay","229","3350","https://bit.ly/2T74BCM",36,15061,227,2,3347,3,185,2,5,0,36,0,3574,6,227,3347,3,3,230,3350,1662039088.03271,230200.839663875,2020-09-13
"14",14,"Randolph",121,"121",339,3953,0,3467,825,302,18,4295,"randolph","339","3953","https://bit.ly/2T74BCM",19,17603,333,6,3940,13,299,3,18,0,16,3,4273,22,333,3940,9,13,342,3953,1698810411.33374,217781.913013329,2020-09-13
"15",15,"Lawrence",75,"075",313,3340,0,2948,705,253,11,3655,"lawrence","313","3340","Not Applicable",49,16669,294,19,3333,7,242,11,11,0,41,8,3627,28,294,3333,21,7,315,3340,1533933452.90283,208244.792392098,2020-09-13
"16",16,"Baxter",5,"005",207,3328,0,2024,1511,159,1,3537,"baxter","207","3328","https://bit.ly/2T74BCM",47,41219,187,20,3321,7,143,16,1,0,43,4,3508,29,187,3321,22,7,209,3328,1518457528.31995,214376.071685134,2020-09-13
"17",17,"Marion",89,"089",60,1918,0,1519,459,49,0,1979,"marion","60","1918","https://bit.ly/2T74BCM",11,16438,57,3,1914,4,49,0,0,0,8,3,1971,8,57,1914,4,4,61,1918,1657005316.82642,213041.318466841,2020-09-13
"18",18,"Perry",105,"105",72,2391,0,2101,362,68,0,2463,"perry","72","2391","Not Applicable",4,10322,68,4,2334,57,64,4,0,0,4,0,2402,61,68,2334,4,57,72,2391,1450824197.89246,235691.992000723,2020-09-13
"19",19,"Jefferson",69,"069",2514,23680,0,16089,10105,2135,55,26202,"jefferson","2514","23680","Not Applicable",324,70424,2493,21,23547,133,2120,15,55,0,318,6,26040,162,2493,23547,29,133,2522,23680,2370994330.72839,284256.349610199,2020-09-13
"20",20,"Washington",143,"143",8212,64522,0,58678,14056,7298,87,72807,"washington","8212","64522","https://bit.ly/2T74BCM",827,228529,8032,180,64053,469,7209,89,87,0,736,91,72085,722,8032,64053,253,469,8285,64522,2465023834.31018,227692.739748244,2020-09-13
"21",21,"Crawford",33,"033",1088,15516,0,14567,2037,964,10,16607,"crawford","1088","15516","https://bit.ly/2T74BCM",114,62472,1075,13,15509,7,955,9,10,0,110,4,16584,23,1075,15509,16,7,1091,15516,1565525966.073,218076.568568796,2020-09-13
"22",22,"Little River",81,"081",323,1546,0,1522,347,293,18,1867,"little river","323","1546","https://bit.ly/2T74BCM",12,12417,318,5,1539,7,288,5,18,0,12,0,1857,10,318,1539,3,7,321,1546,1458314113.76514,321191.714116766,2020-09-13
"23",23,"Miller",91,"091",717,5790,0,4313,2194,643,10,6509,"miller","717","5790","https://bit.ly/2T74BCM",64,43759,700,17,5761,29,626,17,10,0,64,0,6461,48,700,5761,19,29,719,5790,1651886723.96448,278617.022939423,2020-09-13
"24",24,"Lafayette",73,"073",80,829,0,704,205,73,2,910,"lafayette","80","829","https://bit.ly/2T74BCM",5,6915,80,0,828,1,73,0,2,0,5,0,908,2,80,828,1,1,81,829,1413353782.99597,240091.990364965,2020-09-13
"25",25,"Columbia",27,"027",339,3838,0,2699,1478,295,17,4185,"columbia","339","3838","https://bit.ly/2T74BCM",27,23892,333,6,3824,14,290,5,17,0,26,1,4157,28,333,3824,14,14,347,3838,1984584461.05408,189842.983515113,2020-09-13
"26",26,"Union",139,"139",796,7618,0,6269,2145,710,25,8418,"union","796","7618","https://bit.ly/2T74BCM",60,39732,791,5,7588,30,709,1,25,0,56,4,8379,39,791,7588,9,30,800,7618,2731252909.41418,302655.931877982,2020-09-13
"27",27,"Ashley",3,"003",400,4341,0,4113,628,383,8,4742,"ashley","400","4341","https://bit.ly/2T74BCM",9,20537,400,0,4324,17,383,0,8,0,9,0,4724,18,400,4324,1,17,401,4341,2434449438.77856,238029.518397571,2020-09-13
"28",28,"Chicot",17,"017",976,4405,0,3456,1925,951,14,5381,"chicot","976","4405","https://bit.ly/2T74BCM",11,10826,975,1,4395,10,950,1,14,0,11,0,5370,11,975,4395,1,10,976,4405,1788307859.28882,280731.906180036,2020-09-13
"29",29,"Benton",7,"007",5849,63013,0,60603,8259,5490,62,68895,"benton","5849","63013","https://bit.ly/2T74BCM",297,258980,5793,56,62930,83,5450,40,62,0,281,16,68723,172,5793,62930,89,83,5882,63013,2289858796.17493,259063.794058411,2020-09-13
"30",30,"Carroll",15,"015",546,6088,0,4833,1801,474,9,6635,"carroll","546","6088","https://bit.ly/2T74BCM",63,27887,545,1,6085,3,473,1,9,0,63,0,6630,5,545,6085,2,3,547,6088,1653084714.83582,212425.446763967,2020-09-13
"31",31,"Madison",87,"087",319,3603,0,3596,326,305,2,3924,"madison","319","3603","Not Applicable",12,16076,313,6,3592,11,301,4,2,0,10,2,3905,19,313,3592,8,11,321,3603,2166601172.44824,215220.142258456,2020-09-13
"32",32,"Sebastian",131,"131",3175,35170,0,34188,4157,2921,40,38349,"sebastian","3175","35170","https://bit.ly/2T74BCM",213,127461,3164,11,35160,10,2914,7,40,0,209,4,38324,25,3164,35160,15,10,3179,35170,1411978552.98157,217534.899566746,2020-09-13
"33",33,"Polk",113,"113",247,3380,0,2617,1010,231,4,3627,"polk","247","3380","https://bit.ly/2T74BCM",12,20163,245,2,3378,2,230,1,4,0,11,1,3623,4,245,3378,2,2,247,3380,2230612446.49585,218300.901651637,2020-09-13
"34",34,"Sevier",133,"133",1182,6011,0,6719,474,1149,16,7196,"sevier","1182","6011","https://bit.ly/2T74BCM",17,17193,1181,1,6001,10,1148,1,16,0,17,0,7182,14,1181,6001,4,10,1185,6011,1504881480.02832,254407.216997404,2020-09-13
"35",35,"Garland",51,"051",1624,23437,0,22677,2384,1449,36,25061,"garland","1624","23437","Not Applicable",139,98296,1617,7,23368,69,1444,5,36,0,137,2,24985,76,1617,23368,7,69,1624,23437,1900949402.75073,198708.79682618,2020-09-13
"36",36,"Saline",125,"125",1833,23299,0,20458,4674,1662,17,25144,"saline","1833","23299","Not Applicable",154,118009,1782,51,22990,309,1625,37,16,1,141,13,24772,372,1782,22990,63,309,1845,23299,1890391625.52527,259324.450169752,2020-09-13
"37",37,"Franklin",47,"047",212,4585,0,3659,1138,178,2,4796,"franklin","212","4585","Not Applicable",32,17780,209,3,4578,7,175,3,2,0,32,0,4787,9,209,4578,2,7,211,4585,1604366855.28687,221024.220903981,2020-09-13
"38",38,"Scott",127,"127",92,1601,0,1429,264,88,1,1693,"scott","92","1601","https://bit.ly/2T74BCM",3,10442,92,0,1601,0,88,0,1,0,3,0,1693,0,92,1601,0,0,92,1601,2325588371.05237,235654.491961227,2020-09-13
"39",39,"Logan",83,"083",381,5640,0,4518,1503,366,1,6023,"logan","381","5640","Not Applicable",14,21757,381,0,5632,8,366,0,1,0,14,0,6013,10,381,5632,2,8,383,5640,1893020842.90564,260765.966043996,2020-09-13
"40",40,"Yell",149,"149",1202,8521,0,8320,1403,1151,26,9723,"yell","1202","8521","Not Applicable",25,21573,1200,2,8483,38,1149,2,26,0,25,0,9683,40,1200,8483,2,38,1202,8521,2456264851.60352,285291.072549929,2020-09-13
"41",41,"Montgomery",97,"097",121,1783,0,1248,656,103,4,1904,"montgomery","121","1783","Not Applicable",14,8993,120,1,1768,15,102,1,4,0,14,0,1888,16,120,1768,1,15,121,1783,2072865931.63159,187272.030588765,2020-09-13
"42",42,"Pike",109,"109",212,1885,0,1719,378,185,2,2097,"pike","212","1885","Not Applicable",25,10808,211,1,1870,15,184,1,2,0,25,0,2081,16,211,1870,1,15,212,1885,1588931949.6095,227895.830370576,2020-09-13
"43",43,"Hempstead",57,"057",344,3686,0,2910,1120,335,4,4033,"hempstead","344","3686","Not Applicable",5,22018,340,4,3670,16,331,4,4,0,5,0,4010,23,340,3670,7,16,347,3686,1918024030.47583,254684.611749633,2020-09-13
"44",44,"Drew",43,"043",332,4812,0,4286,858,313,5,5147,"drew","332","4812","Not Applicable",14,18502,328,4,4781,31,310,3,5,0,13,1,5109,38,328,4781,7,31,335,4812,2164050280.56885,194673.142048166,2020-09-13
